"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","type","C.N"
"ILEMUC10_GR","GR","ilemuc",NA,NA,NA,2,2,NA,NA,NA,NA,NA
"KALANG01_GR","GR","kalang",0.6,1.960507868,50.03195833,0.3,NA,NA,NA,0.0567496630488756,NA,NA
"KALANG02_GR","GR","kalang",0.434782608695652,1.288497003,50.04645875,0.4,NA,NA,NA,0.0925681036762761,NA,NA
"KALANG03_GR","GR","kalang",0.513513513513513,1.611981715,50.40005419,0.3,NA,NA,NA,0.0531571553328018,NA,NA
"KALANG04_GR","GR","kalang",0.565217391304348,1.83628489,49.26962141,0.4,NA,NA,NA,0.0562429696287964,NA,NA
"KALANG05_GR","GR","kalang",0.527777777777778,1.589575025,50.18866474,0.4,NA,NA,NA,0.0556070435588508,NA,NA
"KALANG06_GR","GR","kalang",0.555555555555556,1.590722623,51.26058373,0.3,NA,NA,NA,0.0573786169021012,NA,NA
"LONCAN01_GR","GR","loncan",0.571428571428571,1.447947508,43.6082607,0.25,NA,NA,NA,0.0305508880587688,NA,NA
"LONCAN02_GR","GR","loncan",0.580645161290323,1.232092713,43.50443497,1.1,NA,NA,NA,0.036169973932674,NA,NA
"LONCAN03_GR","GR","loncan",0.375,1.289805873,42.43693799,0.8,NA,NA,NA,0.0472042226322791,NA,NA
"LONCAN03_GR","GR","loncan",0.522727272727273,1.289805873,42.43693799,1,NA,NA,NA,0.0350455592269951,NA,NA
"LONCAN04_GR","GR","loncan",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA
"LONCAN05_GR","GR","loncan",0.538461538461538,1.584132212,42.66252149,1,NA,NA,NA,0.0262390877307444,NA,NA
"LONCAN06_GR","GR","loncan",0.538461538461539,1.430718361,41.9150386,0.8,NA,NA,NA,0.0239788985692591,NA,NA
"LONCAN07_GR","GR","loncan",0.733333333333333,1.49390071,42.75849936,1.5,NA,NA,NA,0.0273402871558645,NA,NA
"LONCAN08_GR","GR","loncan",NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA
"MYRGAL01_GR","GR","myrgal",0.509803921568627,2.113376966,48.80610225,1,NA,NA,NA,0.0609891328454203,NA,NA
"MYRGAL02_GR","GR","myrgal",0.458333333333333,2.007374845,48.48183403,1,NA,NA,NA,0.0691968474385438,NA,NA
"MYRGAL03_GR","GR","myrgal",0.442477876106195,2.455752536,47.74022012,1,NA,NA,NA,0.0659540312846103,NA,NA
"MYRGAL04_GR","GR","myrgal",0.436893203883495,2.422494243,48.77528454,1,NA,NA,NA,0.0600781015319916,NA,NA
"MYRGAL05_GR","GR","myrgal",0.45679012345679,2.403491242,47.27436073,1,NA,NA,NA,0.0576479631053036,NA,NA
"MYRGAL06_GR","GR","myrgal",0.538461538461538,2.099789272,47.92406688,1,NA,NA,NA,0.0629663444888707,NA,NA
"POPTRE01_GR","GR","poptre",NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA
"POPTRE02_GR","GR","poptre",0.456953642384106,2.216446859,49.23114479,8,4.9,NA,NA,0.0507056536803854,NA,NA
"POPTRE03_GR","GR","poptre",0.558823529411765,2.787994734,49.79009963,9,6.5,NA,NA,0.0587173520648936,NA,NA
