"","ind","site","sp","Latitude","Longitude","Elevation","Leaf.area","Fresh.mass","Dry.mass","Stem.volume","Stem.mass","ht","DBH","DBH.2","DBH.3","DBH.4","DBH.5","per.N","per.C","Stomatal.Length","stom_d","lma","wood.den","cn"
"138","FRANIG10_GR","GR","FRANIG",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.7,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","ILEMUC01_GR","GR","ILEMUC",44.87406802,-71.05300804,390,117.397,2.1,0.68,0.78,0.38,0.4,NA,NA,NA,NA,NA,2.22141857,47.07156073,11.5846,447.3797153,0.00579231155821699,2.05263157894737,21.189865505626
"140","ILEMUC02_GR","GR","ILEMUC",44.88042796,-71.09902896,450,148.653,1.57,0.5,0.93,0.49,1.4,1.4,NA,NA,NA,NA,2.563774084,48.50256244,NA,NA,0.00336353790370864,1.89795918367347,18.9184229385478
"141","ILEMUC03_GR","GR","ILEMUC",44.88036702,-71.09886702,441,115.385,1.3,0.34,0.76,0.46,1.5,1.3,NA,NA,NA,NA,2.744827317,48.02478715,14.934,317.6054467,0.00294665684447718,1.65217391304348,17.4964693962932
"142","ILEMUC04_GR","GR","ILEMUC",44.89818804,-71.07653202,422,124.521,1.21,0.34,0.89,0.5,3,1.4,1.4,1.7,2,NA,2.384171816,47.1937465,15.802,264.6712056,0.00273046313473229,1.78,19.7946079990067
"143","ILEMUC05_GR","GR","ILEMUC",44.89822702,-71.076458,421,248.741,2.46,0.62,0.97,0.49,2,1.1,1.1,1.2,NA,NA,2.784225411,47.61479184,NA,NA,0.0024925524943616,1.97959183673469,17.1016296496261
"144","ILEMUC06_GR","GR","ILEMUC",44.865968,-71.05163801,381,114.645,1.47,0.53,0.5,0.26,1.8,NA,NA,NA,NA,NA,2.300744599,49.26549051,14.7754,329.5583399,0.00462296654891186,1.92307692307692,21.4128463156723
"145","ILEMUC07_GR","GR","ILEMUC",NA,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","ILEMUC08_GR","GR","ILEMUC",NA,NA,NA,NA,NA,NA,NA,NA,2.3,2.125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","ILEMUC09_GR","GR","ILEMUC",NA,NA,NA,NA,NA,NA,NA,NA,2.2,1.3,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","ILEMUC10_GR","GR","ILEMUC",NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","KALANG01_GR","GR","KALANG",44.87418998,-71.052873,341,28.194,0.48,0.16,0.15,0.09,0.3,NA,NA,NA,NA,NA,1.960507868,50.03195833,NA,NA,0.00567496630488756,1.66666666666667,25.5198967301467
"150","KALANG02_GR","GR","KALANG",44.87405403,-71.05293998,385,30.248,0.65,0.28,0.23,0.1,0.4,NA,NA,NA,NA,NA,1.288497003,50.04645875,8.8812,575.4464277,0.00925681036762761,2.3,38.8409586001963
"151","KALANG03_GR","GR","KALANG",44.874064,-71.05289396,394,26.337,0.39,0.14,0.37,0.19,0.3,NA,NA,NA,NA,NA,1.611981715,50.40005419,NA,NA,0.00531571553328018,1.94736842105263,31.2658969521872
"152","KALANG04_GR","GR","KALANG",44.87408596,-71.05287502,396,39.116,0.62,0.22,0.23,0.13,0.4,NA,NA,NA,NA,NA,1.83628489,49.26962141,8.2106,799.1362853,0.00562429696287964,1.76923076923077,26.8311424214791
"153","KALANG05_GR","GR","KALANG",NA,NA,NA,37.765,0.58,0.21,0.36,0.19,0.4,NA,NA,NA,NA,NA,1.589575025,50.18866474,8.9358,631.7957811,0.00556070435588508,1.89473684210526,31.5736369473973
"154","KALANG06_GR","GR","KALANG",NA,NA,NA,36.599,0.59,0.21,0.36,0.2,0.3,NA,NA,NA,NA,NA,1.590722623,51.26058373,8.897,425.1814851,0.00573786169021012,1.8,32.2247153518983
"155","LONCAN01_GR","GR","LONCAN",44.92511599,-71.09670902,424,72.011,0.68,0.22,0.14,0.08,0.25,NA,NA,NA,NA,NA,1.447947508,43.6082607,15.9142,52.93424112,0.00305508880587688,1.75,30.1172939343876
"156","LONCAN02_GR","GR","LONCAN",44.92519696,-71.09801802,431,80.177,0.74,0.29,0.31,0.18,1.1,NA,NA,NA,NA,NA,1.232092713,43.50443497,NA,NA,0.0036169973932674,1.72222222222222,35.3093841972913
"157","LONCAN03_GR","GR","LONCAN",44.925161,-71.09791098,431,139.818,2.02,0.66,0.24,0.09,0.8,NA,NA,NA,NA,NA,1.289805873,42.43693799,15.4514,64.88713428,0.00472042226322791,2.66666666666667,32.9018024172076
"158","LONCAN03_GR","GR","LONCAN",44.880147,-71.09804501,451,139.818,1.38,0.49,0.88,0.46,1,NA,NA,NA,NA,NA,1.289805873,42.43693799,15.4514,64.88713428,0.00350455592269951,1.91304347826087,32.9018024172076
"159","LONCAN04_GR","GR","LONCAN",44.87742498,-71.05683303,392,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","LONCAN05_GR","GR","LONCAN",44.89759301,-71.07720802,420,141.011,1.22,0.37,0.78,0.42,1,NA,NA,NA,NA,NA,1.584132212,42.66252149,16.6912,37.56623563,0.00262390877307444,1.85714285714286,26.9311621636288
"161","LONCAN06_GR","GR","LONCAN",44.89863697,-71.07388702,425,112.599,1,0.27,0.26,0.14,0.8,NA,NA,NA,NA,NA,1.430718361,41.9150386,NA,NA,0.00239788985692591,1.85714285714286,29.2964986978314
"162","LONCAN07_GR","GR","LONCAN",44.89877704,-71.07405198,428,120.701,1.16,0.33,0.3,0.22,1.5,NA,NA,NA,NA,NA,1.49390071,42.75849936,17.6024,70.00980277,0.00273402871558645,1.36363636363636,28.6220490249315
"163","LONCAN08_GR","GR","LONCAN",NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","MYRGAL01_GR","GR","MYRGAL",44.86612198,-71.05144599,392,72.144,1.21,0.44,0.51,0.26,1,NA,NA,NA,NA,NA,2.113376966,48.80610225,20.8026,105.8684822,0.00609891328454203,1.96153846153846,23.0938933447238
"165","MYRGAL02_GR","GR","MYRGAL",44.86607999,-71.05146702,391,85.264,1.5,0.59,0.72,0.33,1,NA,NA,NA,NA,NA,2.007374845,48.48183403,25.3816,80.25513976,0.00691968474385438,2.18181818181818,24.1518589070493
"166","MYRGAL03_GR","GR","MYRGAL",44.86607303,-71.05148303,380,80.359,1.53,0.53,1.13,0.5,1,NA,NA,NA,NA,NA,2.455752536,47.74022012,NA,NA,0.00659540312846103,2.26,19.4401591447649
"167","MYRGAL04_GR","GR","MYRGAL",44.86592299,-71.05159703,385,83.225,1.36,0.5,1.03,0.45,1,NA,NA,NA,NA,NA,2.422494243,48.77528454,19.0424,107.5760384,0.00600781015319916,2.28888888888889,20.1343242325303
"168","MYRGAL05_GR","GR","MYRGAL",NA,NA,NA,83.264,1.36,0.48,0.81,0.37,1,NA,NA,NA,NA,NA,2.403491242,47.27436073,16.874,129.7742686,0.00576479631053036,2.18918918918919,19.6690380659186
"169","MYRGAL06_GR","GR","MYRGAL",44.865909,-71.051578,383,63.526,1.12,0.4,0.39,0.21,1,NA,NA,NA,NA,NA,2.099789272,47.92406688,NA,NA,0.00629663444888707,1.85714285714286,22.8232744680867
"170","POPTRE01_GR","GR","POPTRE",44.92347004,-71.08994499,435,NA,NA,NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","POPTRE02_GR","GR","POPTRE",44.88037004,-71.099395,465,212.994,2.58,1.08,3.02,1.38,8,4.9,NA,NA,NA,NA,2.216446859,49.23114479,19.663,148.5573864,0.00507056536803854,2.18840579710145,22.2117415493606
"172","POPTRE03_GR","GR","POPTRE",44.87955499,-71.10073602,442,183.932,3.02,1.08,1.02,0.57,9,6.5,NA,NA,NA,NA,2.787994734,49.79009963,20.0518,121.2364877,0.00587173520648936,1.78947368421053,17.858749524453
"173","POPTRE04_GR","GR","POPTRE",44.87936304,-71.10074901,445,253.739,3.34,1.17,0.95,0.46,3,2.2,NA,NA,NA,NA,2.867100116,48.16680989,20.3748,105.8684822,0.00461103732575599,2.06521739130435,16.7998353532207
"174","POPTRE05_GR","GR","POPTRE",44.87923597,-71.10111698,447,NA,NA,NA,NA,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","POPTRE06_GR","GR","POPTRE",44.88032302,-71.10365401,430,171.577,2.46,0.97,2.02,0.97,6,5,NA,NA,NA,NA,2.793076793,49.01644805,NA,NA,0.00565343839792047,2.08247422680412,17.549266161548
