"","ind","sp","site","treatcode","warm","photo","chill","tleafm","lleafm","Height","DBH","stom_den","sla","wood_d","cn"
"328","ACESAC06_HF","ACESAC","HF","CS0","15","08","chill0",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"329","ACESAC06_HF","ACESAC","HF","CS1","15","08","chill1",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"330","ACESAC06_HF","ACESAC","HF","CS2","15","08","chill2",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"331","ACESAC06_HF","ACESAC","HF","WL0","20","12","chill0",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"332","ACESAC06_HF","ACESAC","HF","WL1","20","12","chill1",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"333","ACESAC06_HF","ACESAC","HF","WL2","20","12","chill2",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"334","ACESAC06_HF","ACESAC","HF","WS0","20","08","chill0",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"335","ACESAC06_HF","ACESAC","HF","WS2","20","08","chill2",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"336","ACESAC06_HF","ACESAC","HF","WS1","20","08","chill1",0,0,12,7,NA,29.1152564102564,1.73684210526316,28.3626620525723
"361","ACESAC09_SH","ACESAC","SH","CL0","15","12","chill0",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"362","ACESAC09_SH","ACESAC","SH","CL1","15","12","chill1",1,1,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"363","ACESAC09_SH","ACESAC","SH","CL2","15","12","chill2",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"364","ACESAC09_SH","ACESAC","SH","CS0","15","08","chill0",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"365","ACESAC09_SH","ACESAC","SH","CS1","15","08","chill1",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"366","ACESAC09_SH","ACESAC","SH","CS2","15","08","chill2",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"367","ACESAC09_SH","ACESAC","SH","WL0","20","12","chill0",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"368","ACESAC09_SH","ACESAC","SH","WL1","20","12","chill1",1,1,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"369","ACESAC09_SH","ACESAC","SH","WL2","20","12","chill2",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"370","ACESAC09_SH","ACESAC","SH","WS0","20","08","chill0",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"371","ACESAC09_SH","ACESAC","SH","WS2","20","08","chill2",0,0,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"372","ACESAC09_SH","ACESAC","SH","WS1","20","08","chill1",1,1,1,15,238.1068791,21.7886046511628,1.79787234042553,20.5018859123677
"421","ALNINC01_HF","ALNINC","HF","CL0","15","12","chill0",0,0,1.8,1,152.4569226,17.057311827957,1.94594594594595,20.5826506865577
"422","ALNINC01_HF","ALNINC","HF","CS0","15","08","chill0",0,0,1.8,1,152.4569226,17.057311827957,1.94594594594595,20.5826506865577
"423","ALNINC01_HF","ALNINC","HF","WL0","20","12","chill0",0,0,1.8,1,152.4569226,17.057311827957,1.94594594594595,20.5826506865577
"424","ALNINC01_HF","ALNINC","HF","WS0","20","08","chill0",0,0,1.8,1,152.4569226,17.057311827957,1.94594594594595,20.5826506865577
"433","ALNINC02_SH","ALNINC","SH","CL0","15","12","chill0",0,0,10.33,3.2,30.83398435,16.7012037037037,2.07894736842105,16.7045082391292
"434","ALNINC02_SH","ALNINC","SH","CS0","15","08","chill0",0,0,10.33,3.2,30.83398435,16.7012037037037,2.07894736842105,16.7045082391292
"435","ALNINC02_SH","ALNINC","SH","WL0","20","12","chill0",0,0,10.33,3.2,30.83398435,16.7012037037037,2.07894736842105,16.7045082391292
"436","ALNINC02_SH","ALNINC","SH","WS0","20","08","chill0",0,0,10.33,3.2,30.83398435,16.7012037037037,2.07894736842105,16.7045082391292
"437","ALNINC04_HF","ALNINC","HF","CL0","15","12","chill0",0,0,4,2,59.95496957,30.0046376811594,2.28571428571429,15.3293074661818
"438","ALNINC04_HF","ALNINC","HF","CS0","15","08","chill0",0,0,4,2,59.95496957,30.0046376811594,2.28571428571429,15.3293074661818
"439","ALNINC04_HF","ALNINC","HF","WL0","20","12","chill0",0,0,4,2,59.95496957,30.0046376811594,2.28571428571429,15.3293074661818
"440","ALNINC04_HF","ALNINC","HF","WS0","20","08","chill0",0,0,4,2,59.95496957,30.0046376811594,2.28571428571429,15.3293074661818
"449","ALNINC05_SH","ALNINC","SH","CL0","15","12","chill0",0,0,2,5.2,59.95496957,21.3048958333333,2.38888888888889,17.9895496441661
"450","ALNINC05_SH","ALNINC","SH","CS0","15","08","chill0",0,0,2,5.2,59.95496957,21.3048958333333,2.38888888888889,17.9895496441661
"451","ALNINC05_SH","ALNINC","SH","WL0","20","12","chill0",0,0,2,5.2,59.95496957,21.3048958333333,2.38888888888889,17.9895496441661
"452","ALNINC05_SH","ALNINC","SH","WS0","20","08","chill0",0,0,2,5.2,59.95496957,21.3048958333333,2.38888888888889,17.9895496441661
"457","ALNINC07_HF","ALNINC","HF","CL0","15","12","chill0",0,0,2.4,2.5,NA,28.2343835616438,1.9136690647482,19.6572276314473
"458","ALNINC07_HF","ALNINC","HF","CS0","15","08","chill0",0,0,2.4,2.5,NA,28.2343835616438,1.9136690647482,19.6572276314473
"459","ALNINC07_HF","ALNINC","HF","WL0","20","12","chill0",0,0,2.4,2.5,NA,28.2343835616438,1.9136690647482,19.6572276314473
"460","ALNINC07_HF","ALNINC","HF","WS0","20","08","chill0",0,0,2.4,2.5,NA,28.2343835616438,1.9136690647482,19.6572276314473
"461","ALNINC07_SH","ALNINC","SH","CL0","15","12","chill0",0,0,0.3,3.3,NA,27.2173134328358,2,16.0594018976704
"462","ALNINC07_SH","ALNINC","SH","CS0","15","08","chill0",0,0,0.3,3.3,NA,27.2173134328358,2,16.0594018976704
"463","ALNINC07_SH","ALNINC","SH","WL0","20","12","chill0",0,0,0.3,3.3,NA,27.2173134328358,2,16.0594018976704
"464","ALNINC07_SH","ALNINC","SH","WS0","20","08","chill0",0,0,0.3,3.3,NA,27.2173134328358,2,16.0594018976704
"469","AROMEL04_HF","AROMEL","HF","CL0","15","12","chill0",0,0,0.9,1,NA,19.3756140350877,1.64285714285714,15.0516312542307
"470","AROMEL04_HF","AROMEL","HF","CS0","15","08","chill0",0,0,0.9,1,NA,19.3756140350877,1.64285714285714,15.0516312542307
"471","AROMEL04_HF","AROMEL","HF","WL0","20","12","chill0",0,0,0.9,1,NA,19.3756140350877,1.64285714285714,15.0516312542307
"472","AROMEL04_HF","AROMEL","HF","WS0","20","08","chill0",0,0,0.9,1,NA,19.3756140350877,1.64285714285714,15.0516312542307
"477","AROMEL08_HF","AROMEL","HF","CL0","15","12","chill0",0,0,1.2,1,81.55246386,16.4852298850575,1.81818181818182,19.5371378410266
"478","AROMEL08_HF","AROMEL","HF","CS0","15","08","chill0",0,0,1.2,1,81.55246386,16.4852298850575,1.81818181818182,19.5371378410266
"479","AROMEL08_HF","AROMEL","HF","WL0","20","12","chill0",0,0,1.2,1,81.55246386,16.4852298850575,1.81818181818182,19.5371378410266
"480","AROMEL08_HF","AROMEL","HF","WS0","20","08","chill0",0,0,1.2,1,81.55246386,16.4852298850575,1.81818181818182,19.5371378410266
"497","BETALL02_SH","BETALL","SH","CL0","15","12","chill0",0,0,13.1,41.6,133.1468798,14.7538547486034,1.69005847953216,24.9174984104037
