Sample,Weight (mg),%N,%C,C:N,Date
klalnvir10,4.89,3.3,47.1,14.1,01.12.2020 21:12
klalnvir11,4.18,2.9,47.3,16.3,01.12.2020 21:19
klalnvir12,4.06,2.7,47.1,17.7,01.12.2020 21:26
klamelan01,3.74,3.3,46.1,14.2,01.12.2020 16:28
klamelan02,4.44,2.9,45.4,15.9,01.12.2020 16:35
klamelan03,4.40,2.2,46.1,20.8,01.12.2020 16:42
klamelan04,4.61,2.4,45.5,19.0,01.12.2020 16:49
klamelan05,4.52,2.7,46.4,16.9,01.12.2020 16:56
klamelan06,3.88,2.4,45.7,19.2,01.12.2020 17:03
klamelan07,3.55,2.4,45.0,18.8,01.12.2020 17:10
klamelan08,3.94,2.4,46.0,19.4,01.12.2020 17:17
klamelan09,4.16,2.4,46.2,19.5,01.12.2020 17:24
klamelan10,4.38,2.6,46.6,18.2,01.12.2020 17:31
klbetpap03,3.75,2.5,47.9,19.3,01.12.2020 18:57
klbetpap05,4.64,1.7,46.3,26.9,01.12.2020 19:04
klbetpap06,4.39,1.7,45.7,27.1,01.12.2020 19:11
klbetpap07,3.82,2.0,48.5,24.9,01.12.2020 19:18
klbetpap09,3.74,2.1,46.6,22.6,01.12.2020 19:32
klbetpap09_2,3.53,2.2,48.6,22.1,01.12.2020 19:39
klbetpap10,4.09,2.4,48.2,20.4,01.12.2020 19:46
klbetpap11,4.10,1.6,47.0,29.0,01.12.2020 19:54
klbetpap12,4.16,2.7,47.9,18.1,01.12.2020 20:01
klbetpap13,4.62,2.0,47.6,23.9,01.12.2020 20:08
klbetpap14,4.54,1.7,44.5,26.0,03.12.2020 17:05
klcorsto02,4.03,1.6,46.3,28.9,01.12.2020 21:33
klcorsto03,4.10,1.6,43.3,26.4,01.12.2020 21:40
klcorsto05,3.87,2.0,44.7,22.0,01.12.2020 21:47
klcorsto06,3.66,1.8,44.6,24.7,01.12.2020 21:55
klcorsto07,4.11,2.4,44.3,18.5,01.12.2020 22:02
klcorsto08,4.68,2.1,44.0,20.6,02.12.2020 11:56
klcorsto09,4.08,2.0,44.2,22.6,02.12.2020 12:04
klcorsto10,4.22,2.2,41.7,19.1,02.12.2020 12:11
klcorsto11,4.83,1.8,43.4,24.1,02.12.2020 12:25
klcorsto13,3.95,1.7,45.2,26.5,02.12.2020 12:32
klloninv01,4.41,2.3,43.2,19.2,02.12.2020 12:39
klloninv02,4.18,2.1,42.2,20.0,02.12.2020 12:46
klloninv04,4.18,1.9,44.5,23.3,02.12.2020 12:53
klloninv05,4.41,1.8,45.5,24.9,02.12.2020 13:00
klloninv06,4.78,1.7,43.8,26.3,02.12.2020 13:07
klloninv07,3.85,2.2,45.7,20.8,02.12.2020 13:14
klloninv08,4.01,3.2,46.4,14.6,02.12.2020 13:21
klloninv08_2,4.69,1.7,44.1,26.3,02.12.2020 13:28
klloninv09,4.10,2.0,44.2,22.4,02.12.2020 13:35
klloninv10,3.54,2.0,45.0,22.7,02.12.2020 13:43
klpopbal01,4.16,2.3,43.0,19.1,03.12.2020 15:19
klpopbal04,3.94,2.2,45.0,20.3,03.12.2020 15:26
klpopbal05,4.24,2.3,43.0,19.1,03.12.2020 15:33
klpopbal06,4.10,1.6,45.2,27.5,03.12.2020 15:40
klpopbal07,3.55,1.9,42.3,21.8,03.12.2020 15:47
klpopbal07_2,3.96,2.0,42.2,21.5,03.12.2020 17:12
klpopbal08,3.84,2.4,43.1,17.8,03.12.2020 15:55
klpopbal08_2,4.23,1.7,44.5,26.8,03.12.2020 16:02
klpopbal09,4.21,1.5,45.4,29.4,03.12.2020 16:09
klpopbal10,4.02,1.5,44.5,29.8,03.12.2020 16:16
klpopbal11,3.86,1.6,43.3,26.9,03.12.2020 16:23
klpoptre01,3.55,2.5,48.8,19.5,02.12.2020 13:57
klpoptre02,3.79,2.6,46.6,18.1,02.12.2020 14:04
klpoptre03,4.87,2.2,47.5,21.8,02.12.2020 14:11
klpoptre04,3.51,2.5,48.2,19.3,02.12.2020 14:18
klpoptre05,3.59,2.1,47.7,22.4,02.12.2020 14:25
klpoptre06,3.98,2.0,45.3,23.0,02.12.2020 14:32
klpoptre07,4.18,2.2,47.6,22.1,02.12.2020 14:39
klpoptre08,3.82,2.3,48.4,20.9,02.12.2020 14:46
klpoptre09,3.95,2.4,47.1,19.8,02.12.2020 14:53
klpoptre10,3.65,2.3,48.6,21.4,02.12.2020 15:00
klrhoalb01,4.33,2.5,44.2,17.6,02.12.2020 18:32
klrhoalb02,3.87,3.0,45.6,15.5,02.12.2020 18:39
klrhoalb03,4.15,2.0,45.7,23.2,02.12.2020 18:47
klrhoalb04,3.96,2.0,45.7,22.9,02.12.2020 18:54
klrhoalb05,4.20,2.5,44.0,17.5,02.12.2020 19:01
klrhoalb06,4.12,2.7,45.6,16.6,02.12.2020 19:08
