,site,species,no,date,dist.top,dist.btm,ht.cm,dbh,dbh2,dbh3,stem.vol,stem.weight
784,kl,corsto,11,28-Jul,NA,NA,290.3,3.79,3.949,1.933,2.04,1017.3
789,kl,corsto,12,28-Jul,NA,NA,334.2,2.696,NA,NA,2.34,1216.6
864,kl,corsto,13,30-Jul,NA,NA,338.2,2.869,2.002,1.432,3.22,1749.5
846,kl,loninv,1,29-Jul,NA,NA,168.2,0.992,NA,NA,3.35,1815.4
845,kl,loninv,2,29-Jul,NA,NA,161,1.102,NA,NA,3.39,1629.7
731,kl,loninv,3,26-Jul,NA,NA,205.3,1.256,0.968,NA,2.18,1454
766,kl,loninv,4,26-Jul,NA,NA,139,1.225,NA,NA,3.63,1713.5
666,kl,loninv,5,24-Jul,NA,NA,102.2,0.761,NA,NA,2.92,1441.7
691,kl,loninv,6,25-Jul,NA,NA,130.4,1.494,NA,NA,2.68,1256.4
706,kl,loninv,7,25-Jul,NA,NA,140,1.879,NA,NA,2.44,1382.3
719,kl,loninv,8,25-Jul,NA,NA,165.7,2.07,1.954,2.223,2.07,1177.3
756,kl,loninv,9,26-Jul,NA,NA,167.8,1.234,1.177,0.975,1.98,698.2
757,kl,loninv,10,26-Jul,NA,NA,200.5,1.889,2.225,1.602,3.67,1825.5
1021,kl,menfer,7,NA,NA,NA,NA,NA,NA,NA,NA,671.4
843,kl,popbal,1,29-Jul,15,12,NA,14.7,NA,NA,3.77,1975.2
981,kl,popbal,3,29-Jul,22,15,NA,19.5,NA,NA,NA,NA
646,kl,popbal,4,24-Jul,29,23,NA,32.6,NA,NA,4.48,2329
648,kl,popbal,5,24-Jul,24,18,NA,23.2,NA,NA,3.88,1986.1
649,kl,popbal,6,24-Jul,21,14,NA,18.5,17.5,21.5,3.76,1897.2
655,kl,popbal,7,24-Jul,21,14,NA,25.8,NA,NA,2.59,1763.7
657,kl,popbal,8,24-Jul,21,16,NA,20.5,NA,NA,4.19,2126.8
658,kl,popbal,8,24-Jul,21,16,NA,20.5,NA,NA,4.19,2329.8
796,kl,popbal,9,28-Jul,7,5,NA,7.2,NA,NA,3.08,1785.3
805,kl,popbal,10,28-Jul,27,23,NA,24,23.5,12.5,3.1,1719
824,kl,popbal,11,28-Jul,16,8,NA,20.1,NA,NA,4.45,2374.2
763,kl,poptre,1,26-Jul,NA,NA,577.5,2.85,NA,NA,4.07,2089.6
782,kl,poptre,2,26-Jul,NA,NA,461.6,2.682,NA,NA,3.66,1849.3
676,kl,poptre,3,24-Jul,9,7,NA,7.2,NA,NA,4.92,2619.2
677,kl,poptre,4,24-Jul,7,6,NA,6.1,NA,NA,4,2128.2
819,kl,poptre,5,28-Jul,16,7,NA,21.7,NA,NA,4.21,2462
820,kl,poptre,6,28-Jul,10,7,NA,9.9,NA,NA,3.87,2071.9
821,kl,poptre,7,28-Jul,14,11,NA,11.8,NA,NA,3.68,1894.7
827,kl,poptre,8,29-Jul,15,10,NA,13.3,NA,NA,3.51,2152.6
828,kl,poptre,9,29-Jul,12,8,NA,8.8,NA,NA,3.97,2398.2
829,kl,poptre,10,29-Jul,20,15,NA,20,NA,NA,3.59,2111.1
715,kl,rhoalb,1,25-Jul,NA,NA,102.3,1.76,NA,NA,2.52,975.3
725,kl,rhoalb,2,25-Jul,NA,NA,131.6,1.639,1.279,1.587,2.71,950.1
854,kl,rhoalb,3,30-Jul,NA,NA,110.4,1.228,1.447,1.453,3.22,1130.4
855,kl,rhoalb,4,30-Jul,NA,NA,133.1,1.288,1.649,1.187,3.48,1411.1
857,kl,rhoalb,5,30-Jul,NA,NA,191.4,1.643,0.999,NA,2.76,1048.4
858,kl,rhoalb,6,30-Jul,NA,NA,201.2,1.744,1.433,0.75,2.54,953.5
859,kl,rhoalb,7,30-Jul,NA,NA,181.6,1.742,1.296,1.212,3.05,1125.3
860,kl,rhoalb,8,30-Jul,NA,NA,120.6,0.985,NA,NA,3.15,1302.5
861,kl,rhoalb,9,30-Jul,NA,NA,166,1.901,NA,NA,2.61,984.9
862,kl,rhoalb,10,30-Jul,NA,NA,110.3,1.392,1.375,NA,4.02,1637.7
839,kl,riblac,1,29-Jul,NA,NA,151.9,0.648,0.62,NA,1.23,643.2
844,kl,riblac,2,29-Jul,NA,NA,140.4,0.592,NA,NA,1.74,948.3
848,kl,riblac,3,29-Jul,NA,NA,122.2,0.849,NA,NA,1.59,905.1
742,kl,riblac,7,26-Jul,NA,NA,53.8,0.337,0.377,NA,1.14,565.2
764,kl,riblac,8,26-Jul,NA,NA,86.1,0.728,NA,NA,1.77,1130.7
688,kl,riblac,9,24-Jul,NA,NA,55.3,0.565,2.422,NA,2.24,1314.7
800,kl,riblac,10,28-Jul,NA,NA,50.1,0.471,NA,NA,1.99,1072.8
803,kl,riblac,11,28-Jul,NA,NA,121.4,0.742,NA,NA,1.57,1094.5
852,kl,riblac,13,29-Jul,NA,NA,130.4,0.743,NA,NA,2.49,1382.6
833,kl,riblac,12_02,29-Jul,NA,NA,106.8,0.655,0.69,NA,2.1,1170.7
837,kl,rosgym,1,29-Jul,NA,NA,147.2,0.676,NA,NA,1.74,934.1
838,kl,rosgym,2,29-Jul,NA,NA,146.1,0.885,NA,NA,2,992.6
748,kl,rosgym,4,26-Jul,NA,NA,127.5,0.972,NA,NA,2.27,1250.2
653,kl,rosgym,6,24-Jul,NA,NA,165.9,1.008,NA,NA,1.84,819.7
678,kl,rosgym,7,24-Jul,NA,NA,112.7,1.054,NA,NA,2.07,1249.1
729,kl,rosgym,8,26-Jul,NA,NA,186.7,1.26,1.148,0.768,2.2,1228.8
761,kl,rosgym,9,26-Jul,NA,NA,121,8.2,NA,NA,1.67,951
785,kl,rosgym,10,28-Jul,NA,NA,119.2,0.278,NA,NA,2.63,1515.7
790,kl,rosgym,11,28-Jul,NA,NA,74.6,0.518,NA,NA,2.04,977.4
795,kl,rosgym,12,28-Jul,NA,NA,101.4,0.672,NA,NA,2.95,1713.8
849,kl,rubida,1,29-Jul,NA,NA,136.2,0.654,NA,NA,3.03,788.6
797,kl,rubida,2,28-Jul,NA,NA,62,0.426,NA,NA,1.38,545.4
798,kl,rubida,3,28-Jul,NA,NA,131,0.747,NA,NA,1.94,655.4
799,kl,rubida,4,28-Jul,NA,NA,78.7,0.499,NA,NA,1.72,560.1
847,kl,rubida,5,29-Jul,NA,NA,68.4,0.473,NA,NA,1.08,438
850,kl,rubida,6,29-Jul,NA,NA,92.9,0.599,NA,NA,2.3,661.6
851,kl,rubida,7,29-Jul,NA,NA,97.8,0.59,NA,NA,2.01,558.2
856,kl,rubida,8,30-Jul,NA,NA,126.1,0.689,NA,NA,3,1046.7
840,kl,rubpar,1,29-Jul,NA,NA,108.6,0.574,0.765,NA,2.47,819.7
753,kl,rubpar,3,26-Jul,NA,NA,128.6,0.731,NA,NA,3.89,1303.3
765,kl,rubpar,4,26-Jul,NA,NA,96.2,0.69,NA,NA,2.96,1147.1
660,kl,rubpar,6,24-Jul,NA,NA,72.2,0.761,NA,NA,2.8,924.7
667,kl,rubpar,7,24-Jul,NA,NA,67.5,0.718,NA,NA,3.55,1275.7
674,kl,rubpar,8,24-Jul,NA,NA,83.6,0.725,NA,NA,3.03,820
701,kl,rubpar,9,25-Jul,NA,NA,67.6,0.655,NA,NA,2.36,884.3
754,kl,rubpar,10,26-Jul,NA,NA,98.5,0.802,0.856,NA,3.7,1459
774,kl,rubpar,11,26-Jul,NA,NA,90.6,0.727,NA,NA,3.2,1156.3
823,kl,rubpar,12,28-Jul,NA,NA,91,0.616,NA,NA,2.96,1256.2
1006,kl,rubpar,21,NA,NA,NA,NA,NA,NA,NA,NA,1032.2
1014,kl,rubpar,22,NA,NA,NA,NA,NA,NA,NA,NA,802.6
682,kl,samrac,1,24-Jul,NA,NA,122,1.469,1.219,1.45,3.84,1059
683,kl,samrac,2,24-Jul,NA,NA,210.8,2.409,1.693,2.422,3.1,1701.8
684,kl,samrac,2,24-Jul,NA,NA,210.8,2.409,1.693,2.422,3.1,714.8
685,kl,samrac,3,24-Jul,NA,NA,195.1,7.269,NA,NA,3.8,1416.4
686,kl,samrac,3,24-Jul,NA,NA,195.1,7.269,NA,NA,3.8,718.8
687,kl,samrac,4,24-Jul,NA,NA,148.4,1.575,1.62,1.622,4.33,1351.7
707,kl,samrac,5,25-Jul,NA,NA,160.4,1.602,2.46,1.759,4.4,786.6
709,kl,samrac,6,25-Jul,NA,NA,102.7,1.144,1.027,0.97,4.01,1259.4
710,kl,samrac,6,25-Jul,NA,NA,102.7,1.144,1.027,0.97,4.01,1287.4
713,kl,samrac,7,25-Jul,NA,NA,196.1,2.126,1.138,1.999,3.77,1031
958,kl,samrac,8,25-Jul,NA,NA,223.7,2.261,2.078,2.694,4.75,NA
959,kl,samrac,9,25-Jul,NA,NA,211,2.237,2.134,2.128,4.09,NA
949,kl,samrac,10,25-Jul,NA,NA,218,2.964,2.145,NA,4.61,NA
831,kl,shecan,1,29-Jul,NA,NA,148.5,1.45,NA,NA,1.91,1007.9
835,kl,shecan,2,29-Jul,NA,NA,200.4,3.187,NA,NA,2.67,1445.9
841,kl,shecan,3,29-Jul,NA,NA,224.5,3.704,2.646,NA,3.07,1626.7
732,kl,shecan,4,26-Jul,NA,NA,171.2,1.904,1.25,1.185,2.53,1366
733,kl,shecan,4,26-Jul,NA,NA,171.2,1.904,1.25,1.185,2.53,1476.6
734,kl,shecan,4,29-Jul,NA,NA,168.5,3.679,NA,NA,2.43,1366
735,kl,shecan,4,29-Jul,NA,NA,168.5,3.679,NA,NA,2.43,1476.6
752,kl,shecan,5,26-Jul,NA,NA,218.9,3.985,NA,NA,2.44,1318.1
647,kl,shecan,6,24-Jul,NA,NA,159.3,1.401,2.031,2.819,3.07,1490.7
656,kl,shecan,7,24-Jul,NA,NA,163.2,2.391,1.753,1.825,2.71,1291.3
668,kl,shecan,8,24-Jul,NA,NA,204.2,4.577,NA,NA,3.7,1733.7
744,kl,shecan,9,26-Jul,NA,NA,237.2,5.292,NA,NA,1.67,927.4
736,kl,sorsco,1,26-Jul,NA,NA,175.6,1.612,NA,NA,2.43,1358.6
737,kl,sorsco,1,26-Jul,NA,NA,175.6,1.612,NA,NA,2.43,1403.2
739,kl,sorsco,2,26-Jul,NA,NA,382.2,2.8,NA,NA,2.98,1597.8
750,kl,sorsco,3,26-Jul,NA,NA,212.5,1.456,1.168,0.798,3.17,1644.2
760,kl,sorsco,4,26-Jul,10,8,NA,3.71,NA,NA,2.8,1416.4
775,kl,sorsco,5,26-Jul,NA,NA,250.7,2.502,NA,NA,2.47,1242
878,kl,sorsco,6,25-Jul,NA,NA,207.8,2.564,NA,NA,2.99,NA
982,kl,sorsco,7,25-Jul,NA,NA,272.2,2.247,2.322,2.354,3.47,NA
711,kl,sorsco,8,25-Jul,NA,NA,479.5,4.465,3.745,1.245,3.33,1546.3
723,kl,sorsco,9,25-Jul,NA,NA,337.4,2.591,NA,NA,3.11,1552.5
747,kl,sorsco,10,26-Jul,NA,NA,547.9,2.624,NA,NA,3.23,1854.9
997,kl,sorsco,NA,NA,NA,NA,NA,NA,NA,NA,NA,1607
663,kl,spibet,3,24-Jul,NA,NA,57.6,0.443,NA,NA,1.5,742.2
679,kl,spibet,4,24-Jul,NA,NA,40.4,0.316,NA,NA,0.72,352.4
694,kl,spibet,5,25-Jul,NA,NA,71.7,0.577,NA,NA,2.01,1012.5
696,kl,spibet,6,25-Jul,NA,NA,54.3,0.356,NA,NA,1.11,486
700,kl,spibet,7,25-Jul,NA,NA,57.7,0.335,1.229,NA,0.99,450.9
730,kl,spibet,8,26-Jul,NA,NA,65.5,0.398,NA,NA,1.05,559
740,kl,spibet,9,26-Jul,NA,NA,55.3,0.292,NA,NA,0.72,309.2
746,kl,spibet,10,26-Jul,NA,NA,70.2,0.51,NA,NA,1.11,633.5
762,kl,spibet,11,26-Jul,NA,NA,75.6,4.71,NA,NA,1.21,633.8
791,kl,spibet,12,28-Jul,NA,NA,62.8,0.33,NA,NA,0.97,536.2
830,kl,symalb,1,29-Jul,NA,NA,143.1,1.003,0.917,0.985,1.28,828.9
770,kl,symalb,2,29-Jul,NA,NA,166.5,1.036,1.069,NA,1.82,778.3
771,kl,symalb,2,29-Jul,NA,NA,166.5,1.036,1.069,NA,1.82,1130
772,kl,symalb,2,26-Jul,NA,NA,121.5,0.837,NA,NA,1.48,778.3
773,kl,symalb,2,26-Jul,NA,NA,121.5,0.837,NA,NA,1.48,1130
783,kl,symalb,3,26-Jul,NA,NA,66.6,0.6,NA,NA,2.61,1520.7
651,kl,symalb,7,24-Jul,NA,NA,75.6,0.566,NA,NA,2.26,1345.8
654,kl,symalb,8,24-Jul,NA,NA,136,1.033,NA,NA,2.1,1070.8
665,kl,symalb,9,24-Jul,NA,NA,91.1,0.842,NA,NA,2.75,1539.7
751,kl,symalb,10,26-Jul,NA,NA,128.3,0.961,0.93,NA,1.05,723.5
755,kl,symalb,11,26-Jul,NA,NA,82.4,0.666,NA,NA,1.21,816.7
822,kl,symalb,12,28-Jul,NA,NA,79.2,0.411,NA,NA,1.59,985.6
689,kl,vacmem,1,25-Jul,NA,NA,65.7,1.187,NA,NA,1.44,829.23
697,kl,vacmem,2,25-Jul,NA,NA,91.5,1.558,NA,NA,1.82,996.5
699,kl,vacmem,3,25-Jul,NA,NA,91.1,1.387,NA,NA,2.67,1427.8
703,kl,vacmem,4,25-Jul,NA,NA,80.1,1.102,NA,NA,2.77,1609.4
718,kl,vacmem,5,25-Jul,NA,NA,78.6,0.764,NA,NA,1.76,977.6
721,kl,vacmem,6,25-Jul,NA,NA,80.4,1.087,NA,NA,1.82,1068.4
724,kl,vacmem,7,25-Jul,NA,NA,75,1.143,NA,NA,1.65,954.9
727,kl,vacmem,8,25-Jul,NA,NA,65.2,1.336,NA,NA,2.03,1196.5
922,kl,vacmem,9,25-Jul,NA,NA,73.4,1.148,NA,NA,NA,NA
728,kl,vacmem,10,25-Jul,NA,NA,61,0.777,NA,NA,2.56,1467.1
863,kl,vacmem,11,30-Jul,NA,NA,42,0.625,NA,NA,2.22,1297.9
767,kl,vibedu,1,26-Jul,NA,NA,190.5,1.594,NA,NA,2.82,1405.2
776,kl,vibedu,2,26-Jul,NA,NA,66.2,0.609,0.406,NA,1.58,710.3
777,kl,vibedu,3,26-Jul,NA,NA,161,1.466,1.157,NA,2.67,931.1
692,kl,vibedu,4,25-Jul,NA,NA,181.6,1.55,1.191,NA,2.18,896.9
695,kl,vibedu,5,25-Jul,NA,NA,136.4,1.704,1.07,NA,2.11,822.5
705,kl,vibedu,6,25-Jul,NA,NA,139.9,0.888,1.253,NA,1.83,987
714,kl,vibedu,7,25-Jul,NA,NA,168,2.137,NA,NA,2.7,1331.4
716,kl,vibedu,8,25-Jul,NA,NA,183.1,1.484,1.698,1.513,0.76,1051.9
720,kl,vibedu,9,25-Jul,NA,NA,310,1.599,1.191,NA,2.09,1019.1
726,kl,vibedu,10,25-Jul,NA,NA,223.3,2.912,NA,NA,2.09,940.5
399,mp,acegla,1,25-Jun,NA,NA,554.4,2.778,5.005,1.585,2.86,1560.8
400,mp,acegla,2,25-Jun,NA,NA,267.6,1.126,NA,NA,2.98,1350.7
456,mp,acegla,3,26-Jun,NA,NA,638.8,3.3,3.4,2.1,3.04,1597.2
457,mp,acegla,4,26-Jun,NA,NA,336.1,1.959,1.595,1.44,4.11,1717.7
458,mp,acegla,5,26-Jun,6,5,NA,6.2,3.5,3,3.6,1783.8
334,mp,acegla,7,23-Jun,7,5,NA,4.482,7.672,7.287,3.12,1601.4
335,mp,acegla,8,23-Jun,7,5,NA,3.5,NA,NA,2.39,1308.2
336,mp,acegla,9,23-Jun,6,5,NA,3.3,NA,NA,2.98,1466.7
337,mp,acegla,10,23-Jun,7,5,NA,4.7,3.7,NA,3.13,1627.4
338,mp,acegla,10,23-Jun,7,5,NA,4.7,3.7,NA,3.13,1416.2
339,mp,acegla,10,26-Jun,7,6,NA,8.2,8.5,11.5,2.89,1627.4
340,mp,acegla,10,26-Jun,7,6,NA,8.2,8.5,11.5,2.89,1416.2
401,mp,acegla,11,25-Jun,NA,NA,354.3,2.016,NA,NA,2.71,1378.1
402,mp,acegla,11,25-Jun,NA,NA,354.3,2.016,NA,NA,2.71,1591.7
341,mp,alninc,1,23-Jun,4,2,NA,3,4,3.5,2.75,996
459,mp,alninc,2,26-Jun,NA,NA,314.5,2.6,3,NA,3.6,1373.3
342,mp,alninc,3,23-Jun,6,3,NA,5,5.4,6.1,3.58,1452.7
460,mp,alninc,4,26-Jun,6,5,NA,8.1,6.4,NA,3.72,1556.9
271,mp,alninc,5,22-Jun,NA,NA,447.4,4,NA,NA,3.04,1250.4
343,mp,alninc,6,23-Jun,5,4,NA,5.9,4.8,2.4,3.28,1184.5
344,mp,alninc,7,23-Jun,7,5,NA,5.3,5.8,4,3.37,1193
345,mp,alninc,8,23-Jun,6,NA,NA,7.4,5.1,3.4,3.56,1444.2
272,mp,alninc,9,22-Jun,NA,NA,464.8,2.7,NA,NA,3.8,1570.6
273,mp,alninc,10,22-Jun,9,7,NA,6.8,5.9,8.5,3.54,1522.9
274,mp,alnrub,5,22-Jun,12,9,NA,25.7,NA,NA,3.62,1438.7
275,mp,alnrub,6,22-Jun,5,4,NA,5.3,NA,NA,4.21,1746.5
276,mp,alnrub,7,22-Jun,8,5,NA,8,NA,NA,3.5,1481
403,mp,alnvir,1,25-Jun,NA,NA,338.6,1.7,1.7,2,3.71,1741.8
404,mp,alnvir,2,25-Jun,NA,NA,491.1,3.7,3.1,3.3,3.61,1704.8
405,mp,alnvir,3,25-Jun,NA,NA,252.4,2.4,2.5,2,3.75,1597.1
461,mp,alnvir,4,26-Jun,NA,NA,474,9.1,NA,NA,3.59,1726.1
462,mp,alnvir,5,26-Jun,NA,NA,377.6,3,2.1,1.7,3.25,1449.6
277,mp,alnvir,6,22-Jun,8,7,NA,6.5,NA,NA,3.41,1478.3
278,mp,alnvir,7,22-Jun,NA,NA,513.8,6,5.2,5.1,4.56,2355.8
279,mp,alnvir,8,22-Jun,NA,NA,285.1,1.321,NA,NA,3.19,1432.9
406,mp,alnvir,9,25-Jun,NA,NA,336.4,2.743,7.978,NA,3.36,1586.5
978,mp,alnvir,10,26-Jun,NA,NA,663.8,7.2,10.6,9.6,3.4,NA
346,mp,amealn,1,23-Jun,NA,NA,142.6,1.308,1.324,1.721,2.98,1424.6
407,mp,amealn,2,25-Jun,NA,NA,45.8,1.374,1.529,1.738,3.12,1869.2
347,mp,amealn,3,23-Jun,NA,NA,282.6,1.917,2.21,NA,2.72,1685.1
348,mp,amealn,4,23-Jun,NA,NA,192.1,1.416,1.342,0.965,2.63,1287.1
408,mp,amealn,5,25-Jun,NA,NA,198.2,1.776,NA,NA,2.8,1500
409,mp,amealn,6,25-Jun,NA,NA,280.3,2.205,3.361,2.652,3.37,1972.05
872,mp,amealn,7,25-Jun,NA,NA,228.9,2.524,3.555,2.519,2.65,NA
984,mp,amealn,8,23-Jun,NA,NA,246.4,1.915,1.953,1.72,2.91,NA
931,mp,amealn,9,23-Jun,NA,NA,224.8,3.767,2.676,3.091,2.61,NA
349,mp,amealn,10,23-Jun,NA,NA,297.4,3.107,NA,NA,2.85,1551.27
410,mp,amealn,11,25-Jun,NA,NA,441.4,2.4,2.6,2.7,3.29,1528.6
280,mp,amealn,12,22-Jun,NA,NA,406.8,3.4,NA,NA,2.75,1586.1
350,mp,corsto,1,23-Jun,NA,NA,186.4,0.833,NA,NA,2.28,766.9
463,mp,corsto,2,26-Jun,NA,NA,384.6,1.442,0.91,1.092,3.01,1337
464,mp,corsto,3,26-Jun,NA,NA,297.1,3.665,NA,NA,3.27,1233.8
351,mp,corsto,5,23-Jun,NA,NA,371.3,2.717,NA,NA,2.93,1505
281,mp,corsto,6,22-Jun,NA,NA,273.6,1.77,NA,NA,3.57,1540.6
282,mp,corsto,7,22-Jun,NA,NA,231.1,1.129,NA,NA,2.7,877
283,mp,corsto,8,22-Jun,NA,NA,111.7,1.987,NA,NA,3.12,1332.1
284,mp,corsto,9,22-Jun,NA,NA,202.3,2.021,NA,NA,2.84,1359
285,mp,corsto,10,22-Jun,NA,NA,347.8,1.574,1.605,1.762,3.24,1494.8
411,mp,corsto,20,25-Jun,NA,NA,424.8,3.336,1.879,NA,2.97,1221.5
993,mp,loninv,2,NA,NA,NA,NA,NA,NA,NA,NA,866.4
352,mp,loninv,3,23-Jun,NA,NA,147.6,1.643,NA,NA,2.53,785.9
353,mp,loninv,3,23-Jun,NA,NA,147.6,1.643,NA,NA,2.53,981.6
412,mp,loninv,4,25-Jun,NA,NA,164.6,1.421,1.308,NA,2.91,1052.9
413,mp,loninv,5,25-Jun,NA,NA,119.3,1.285,NA,NA,2.46,990.6
414,mp,loninv,6,25-Jun,NA,NA,99.7,1.17,1.262,1.044,3.18,1495.1
415,mp,loninv,7,25-Jun,NA,NA,228.1,0.961,NA,NA,2.86,1261.3
416,mp,loninv,8,25-Jun,NA,NA,105.2,0.918,0.83,1.072,3.05,1190.9
417,mp,loninv,8,25-Jun,NA,NA,105.2,0.918,0.83,1.072,3.05,1006.6
354,mp,loninv,9,23-Jun,NA,NA,160,2.275,NA,NA,2.3,921.4
355,mp,loninv,10,23-Jun,NA,NA,111.1,0.655,NA,NA,2.01,856.4
465,mp,loninv,11,26-Jun,NA,NA,241.6,1.834,NA,NA,3.4,1261.5
466,mp,loninv,12,26-Jun,NA,NA,288.1,1.431,NA,NA,2.52,1045.4
467,mp,loninv,13,26-Jun,NA,NA,170.7,1.214,NA,NA,1.96,789
286,mp,menfer,1,22-Jun,NA,NA,159.3,1.383,NA,NA,1.41,575.8
468,mp,menfer,2,26-Jun,NA,NA,166.9,1.77,1.768,1.593,2.58,1269.6
356,mp,menfer,4,23-Jun,NA,NA,109.7,2.753,1.886,1.882,2.5,1014.5
469,mp,menfer,5,26-Jun,NA,NA,89.3,0.888,NA,NA,3.25,1395.6
470,mp,menfer,6,26-Jun,NA,NA,119.2,1.367,1.451,1.357,2.57,1171
471,mp,menfer,7,26-Jun,NA,NA,204.9,2.154,1.363,1.866,3.61,1469.6
287,mp,menfer,8,22-Jun,NA,NA,224.8,1.73,NA,NA,1.89,816.8
288,mp,menfer,9,22-Jun,NA,NA,154.7,1.393,NA,NA,1.62,699.9
289,mp,menfer,10,23-Jun,NA,NA,196.3,1.674,NA,NA,2.92,1130.9
290,mp,menfer,10,23-Jun,NA,NA,196.3,1.674,NA,NA,2.92,485.1
291,mp,menfer,10,22-Jun,NA,NA,182.3,1.399,NA,NA,1.34,1130.9
292,mp,menfer,10,22-Jun,NA,NA,182.3,1.399,NA,NA,1.34,485.1
418,mp,menfer,12,25-Jun,NA,NA,280.2,2.475,1.811,1.853,3.09,1419.5
357,mp,popbal,6,23-Jun,20,16,NA,23.7,NA,NA,3.31,1464.1
989,mp,popbal,7,23-Jun,31,24,NA,28.2,27.9,28.9,3.52,NA
472,mp,popbal,8,26-Jun,21,15,NA,42.2,34.1,NA,3.73,1894.1
473,mp,popbal,9,26-Jun,20,13,NA,46.6,NA,NA,4.11,2052.3
474,mp,popbal,10,26-Jun,22,14,NA,37.8,NA,NA,3.79,1797.4
475,mp,popbal,10,26-Jun,22,14,NA,37.8,NA,NA,3.79,1743.4
293,mp,popbal,11,22-Jun,21,13,NA,39.4,NA,NA,3.75,1809.3
419,mp,popbal,12,25-Jun,31,25,NA,52.9,NA,NA,3.08,1290
476,mp,popbal,13,26-Jun,44,29,NA,91.9,NA,NA,4.7,2345.5
477,mp,popbal,14,26-Jun,37,20,NA,54.9,NA,NA,4.4,2199.9
478,mp,popbal,15,26-Jun,27,17,NA,22,NA,NA,4.24,1987.6
358,mp,poptre,5,23-Jun,10,7,NA,15.5,NA,NA,4.05,2050.24
359,mp,poptre,6,23-Jun,5,3,NA,4.7,NA,NA,3.76,1568.52
360,mp,poptre,7,25-Jun,17,9,NA,9.4,23.6,21,3.73,1883.81
361,mp,poptre,7,23-Jun,13,10,NA,10.5,NA,NA,3.59,1883.81
420,mp,poptre,8,25-Jun,15,8,NA,20,NA,NA,3.63,1986.39
421,mp,poptre,9,25-Jun,7,6,NA,6.6,NA,NA,3.74,1813.82
422,mp,poptre,10,25-Jun,14,10,NA,14,NA,NA,4.43,1960.5
362,mp,poptre,11,23-Jun,6,3,NA,4.6,NA,NA,3.85,1933.8
423,mp,poptre,12,25-Jun,20,16,NA,23.5,25.6,NA,3.55,1702.7
424,mp,poptre,13,25-Jun,10,8,NA,13.4,NA,NA,4.15,1914.4
1000,mp,poptre,6_2nd,NA,NA,NA,NA,NA,NA,NA,NA,1713.61
479,mp,rhoalb,1,26-Jun,NA,NA,114.5,1.291,1.328,1.079,3.55,1346.5
363,mp,rhoalb,2,23-Jun,NA,NA,95.5,0.943,0.977,0.545,3.12,1120
364,mp,rhoalb,3,23-Jun,NA,NA,188.6,1.487,NA,NA,2.54,773.3
365,mp,rhoalb,4,23-Jun,NA,NA,172,1.53,NA,NA,3.93,1473.8
366,mp,rhoalb,5,23-Jun,NA,NA,168.6,1.204,NA,NA,2.34,781.6
294,mp,rhoalb,8,22-Jun,NA,NA,225.3,2.074,2.23,1.48,3.13,949.7
295,mp,rhoalb,9,22-Jun,NA,NA,144.1,1.339,NA,NA,3.62,1179.7
296,mp,rhoalb,10,22-Jun,NA,NA,149.2,1.128,NA,NA,3.08,994
480,mp,rhoalb,11,26-Jun,NA,NA,150.6,2.873,1.675,2.495,3.8,1271.7
481,mp,rhoalb,12,26-Jun,NA,NA,190.5,1.171,2.133,1.531,3.27,1040.4
425,mp,riblac,1,25-Jun,NA,NA,92.4,0.715,NA,NA,2.73,1463
297,mp,riblac,2,22-Jun,NA,NA,74.5,0.563,NA,NA,3.04,1512.9
426,mp,riblac,3,25-Jun,NA,NA,117.7,0.839,NA,NA,2.44,1445.4
427,mp,riblac,4,25-Jun,NA,NA,127.5,1.086,NA,NA,2.17,1367
482,mp,riblac,5,26-Jun,NA,NA,183,0.772,NA,NA,2.14,1156.4
428,mp,riblac,6,25-Jun,NA,NA,179,0.879,NA,NA,1.78,997.1
367,mp,riblac,7,23-Jun,NA,NA,76.8,0.633,NA,NA,1.85,1107.5
429,mp,riblac,8,25-Jun,NA,NA,95.5,0.572,NA,NA,2.12,1140.7
368,mp,riblac,10,23-Jun,NA,NA,93,0.76,NA,NA,3.9,19736
298,mp,riblac,11,22-Jun,NA,NA,104.1,0.784,NA,NA,1.66,895.6
430,mp,rosaci,1,25-Jun,NA,NA,76.1,0.743,NA,NA,3.62,1803.5
299,mp,rosaci,2,22-Jun,NA,NA,52.6,0.668,NA,NA,3.51,1833.7
431,mp,rosaci,3,25-Jun,NA,NA,86.9,0.665,NA,NA,2.72,1441.9
300,mp,rosaci,4,22-Jun,NA,NA,88.3,0.43,NA,NA,1.87,998.2
301,mp,rosaci,5,22-Jun,NA,NA,106.1,0.879,NA,NA,1.39,706.2
302,mp,rosaci,6,22-Jun,NA,NA,85.4,0.854,NA,NA,1.75,947.8
369,mp,rosaci,7,23-Jun,NA,NA,103.2,0.868,NA,NA,2.49,1155.1
370,mp,rosaci,8,23-Jun,NA,NA,113.1,1.228,NA,NA,3.61,1669.9
371,mp,rosaci,9,23-Jun,NA,NA,129.4,0.915,NA,NA,4.06,2136.9
432,mp,rosaci,10,25-Jun,NA,NA,186.6,11.2,NA,NA,3.09,1424.1
303,mp,rosgym,1,22-Jun,NA,NA,147.4,0.754,NA,NA,1.2,600.4
304,mp,rosgym,2,22-Jun,NA,NA,124.3,0.853,NA,NA,1.1,1603
433,mp,rosgym,3,25-Jun,NA,NA,75.5,1.285,NA,NA,1.75,799.2
