sample,site,species,no.x,vol,stem.weight,ssd,Weight..mg.,per.N,per.C,C.N,type,ht,dbh,dbh2,dbh3,no.y,lma
kl_vacmem_9,kl,vacmem,9,NA,NA,NA,4.37,2.4,45.7,19.1,shrub,0.73,1.148,NA,NA,9,4.040829463
kl_vibedu_1,kl,vibedu,1,2.82,1405.2,498.2978723,3.95,1.6,42.3,26.1,shrub,1.9,1.594,NA,NA,1,3.661159791
kl_vibedu_10,kl,vibedu,10,2.09,940.5,450,3.78,1.9,43,22.6,shrub,2.23,2.912,NA,NA,10,4.49825144
kl_vibedu_2,kl,vibedu,2,1.58,710.3,449.556962,3.97,1.7,44.1,26.1,shrub,0.66,0.609,0.406,NA,2,8.243492033
kl_vibedu_3,kl,vibedu,3,2.67,931.1,348.7265918,4.08,1.7,44.1,25.4,shrub,1.61,1.466,1.157,NA,3,3.0584726
kl_vibedu_4,kl,vibedu,4,2.18,896.9,411.4220183,4.43,1.7,46.2,27.1,shrub,1.82,1.55,1.191,NA,4,4.750765036
kl_vibedu_5,kl,vibedu,5,2.11,822.5,389.8104265,3.83,1.8,45.8,25.8,shrub,1.36,1.704,1.07,NA,5,4.49382958
kl_vibedu_6,kl,vibedu,6,1.83,987,539.3442623,3.9,1.8,43.5,24.5,shrub,1.4,0.888,1.253,NA,6,4.36593277
kl_vibedu_7,kl,vibedu,7,2.7,1331.4,493.1111111,4.45,2.2,45.1,20.1,shrub,1.68,2.137,NA,NA,7,4.294628275
kl_vibedu_8,kl,vibedu,8,0.76,1051.9,1384.078947,4.07,2.1,44.5,21,shrub,1.83,1.484,1.698,1.513,8,5.790485559
kl_vibedu_9,kl,vibedu,9,2.09,1019.1,487.6076555,4.4,1.4,43.8,31.8,shrub,3.1,1.599,1.191,NA,9,5.730261703
mp_acegla_1,mp,acegla,1,2.86,1560.8,545.7342657,4.39,1.7,44.8,25.9,tree,5.54,2.778,5.005,1.585,1,3.095690721
mp_acegla_10,mp,acegla,10,3.13,1416.2,452.4600639,4.28,2.8,46,16.7,tree,6.38,4.7,3.7,NA,10,2.115238955
mp_acegla_10_02,mp,acegla,10_02,2.89,1627.4,563.1141869,NA,NA,NA,NA,tree,5.09,8.2,8.5,11.5,NA,NA
mp_acegla_11,mp,acegla,11,2.71,1378.1,508.5239852,4.29,1.8,45.4,25.4,tree,3.54,2.016,NA,NA,11,3.998976158
mp_acegla_11_02,mp,acegla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11_02,2.481394644
mp_acegla_2,mp,acegla,2,2.98,1350.7,453.2550336,3.63,2.8,47.7,16.9,tree,2.68,1.126,NA,NA,2,4.446604807
mp_acegla_3,mp,acegla,3,3.04,1597.2,525.3947368,4.21,2.5,47,19.2,tree,6.39,3.3,3.4,2.1,3,5.242685966
mp_acegla_4,mp,acegla,4,4.11,1717.7,417.9318735,3.47,2.8,48,17.3,tree,3.36,1.959,1.595,1.44,4,2.638242092
mp_acegla_5,mp,acegla,5,3.6,1783.8,495.5,4.41,2.4,43.9,18.4,tree,4.8,6.2,3.5,3,5,1.956157184
mp_acegla_7,mp,acegla,7,3.12,1601.4,513.2692308,3.91,2.4,46,19.6,tree,6.38,4.482,7.672,7.287,7,2.72879986
mp_acegla_8,mp,acegla,8,2.39,1308.2,547.3640167,3.78,2.4,45.4,18.6,tree,6.38,3.5,NA,NA,8,2.878645753
mp_acegla_9,mp,acegla,9,2.98,1466.7,492.1812081,3.77,2.3,45.5,19.5,tree,4.8,3.3,NA,NA,9,2.364395293
mp_alninc_1,mp,alninc,1,2.75,996,362.1818182,3.8,42,475.6,11.3,shrub,4.94,3,4,3.5,1,3.094717962
mp_alninc_10,mp,alninc,10,3.54,1522.9,430.1977401,3.49,32.8,596.2,18.2,shrub,7.14,6.8,5.9,8.5,10,5.92444388
mp_alninc_2,mp,alninc,2,3.6,1373.3,381.4722222,4.58,4.2,62.9,15.1,shrub,3.14,2.6,3,NA,2,6.476204552
mp_alninc_3,mp,alninc,3,3.58,1452.7,405.7821229,4.26,4.1,64.2,15.7,shrub,6.68,5,5.4,6.1,3,5.279867969
mp_alninc_4,mp,alninc,4,3.72,1556.9,418.5215054,3.76,39.2,491.2,12.5,shrub,4.8,8.1,6.4,NA,4,3.518926761
mp_alninc_5,mp,alninc,5,3.04,1250.4,411.3157895,4.26,40.8,470.2,11.5,shrub,4.47,4,NA,NA,5,2.932553622
mp_alninc_6,mp,alninc,6,3.28,1184.5,361.1280488,4.73,36.7,462.3,12.6,shrub,4.48,5.9,4.8,2.4,6,3.960560545
mp_alninc_7,mp,alninc,7,3.37,1193,354.0059347,4.08,34.1,494.2,14.5,shrub,6.38,5.3,5.8,4,7,5.358861902
mp_alninc_8,mp,alninc,8,3.56,1444.2,405.6741573,4.14,33.2,391.8,11.8,shrub,NA,7.4,5.1,3.4,8,2.998173985
mp_alninc_9,mp,alninc,9,3.8,1570.6,413.3157895,NA,NA,NA,NA,shrub,4.65,2.7,NA,NA,9,2.237896454
mp_alnvir_1,mp,alnvir,1,3.71,1741.8,469.4878706,4.52,35.4,476.5,13.5,shrub,3.39,1.7,1.7,2,1,4.785670308
mp_alnvir_10,mp,alnvir,10,3.4,NA,NA,4.11,2.8,48.4,17.6,shrub,6.64,7.2,10.6,9.6,10,6.161805409
mp_alnvir_2,mp,alnvir,2,3.61,1704.8,472.2437673,4.88,38.1,466.1,12.2,shrub,4.91,3.7,3.1,3.3,2,3.377904082
mp_alnvir_3,mp,alnvir,3,3.75,1597.1,425.8933333,3.5,32.5,488,15,shrub,2.52,2.4,2.5,2,3,4.264712606
mp_alnvir_4,mp,alnvir,4,3.59,1726.1,480.8077994,4.16,22.7,477.8,21.1,shrub,4.74,9.1,NA,NA,4,4.915802456
mp_alnvir_5,mp,alnvir,5,3.25,1449.6,446.0307692,3.62,2.7,48.6,17.9,shrub,3.78,3,2.1,1.7,5,5.75032326
mp_alnvir_6,mp,alnvir,6,3.41,1478.3,433.5190616,4.04,3.6,48.5,13.7,shrub,5.35,6.5,NA,NA,6,3.894098543
mp_alnvir_7,mp,alnvir,7,4.56,2355.8,516.622807,4.62,2.9,47.7,16.5,shrub,5.14,6,5.2,5.1,7,3.9691079
mp_alnvir_8,mp,alnvir,8,3.19,1432.9,449.184953,4.62,4.2,47.8,11.5,shrub,2.85,1.321,NA,NA,8,2.678786867
mp_alnvir_9,mp,alnvir,9,3.36,1586.5,472.172619,4.22,2.2,47.1,21.4,shrub,3.36,2.743,7.978,NA,NA,NA
mp_amealn_1,mp,amealn,1,2.98,1424.6,478.0536913,4.34,4.2,58,13.8,shrub,1.43,1.308,1.324,1.721,1,7.66047934
mp_amealn_10,mp,amealn,10,2.85,1551.27,544.3052632,3.95,3.6,57.7,16.1,shrub,2.97,3.107,NA,NA,10,4.241053863
mp_amealn_11,mp,amealn,11,3.29,1528.6,464.6200608,4.64,2.5,47.7,19.2,shrub,4.41,2.4,2.6,2.7,11,4.880391391
mp_amealn_12,mp,amealn,12,2.75,1586.1,576.7636364,3.85,2.7,44.8,16.9,shrub,4.07,3.4,NA,NA,12,3.252319693
mp_amealn_2,mp,amealn,2,3.12,1869.2,599.1025641,4.15,4.2,58.8,14.1,shrub,0.46,1.374,1.529,1.738,2,4.621974
mp_amealn_3,mp,amealn,3,2.72,1685.1,619.5220588,3.7,2.8,56.5,20.3,shrub,2.83,1.917,2.21,NA,3,5.165203448
mp_amealn_4,mp,amealn,4,2.63,1287.1,489.391635,3.6,4.2,58,13.9,shrub,1.92,1.416,1.342,0.965,4,19.06134823
mp_amealn_5,mp,amealn,5,2.8,1500,535.7142857,3.88,2.9,57.2,19.8,shrub,1.98,1.776,NA,NA,5,4.740282397
mp_amealn_6,mp,amealn,6,3.37,1972.05,585.1780415,3.71,3.9,57.6,14.9,shrub,2.8,2.205,3.361,2.652,6,3.957743626
mp_amealn_7,mp,amealn,7,2.65,1449.8,547.0943396,4.52,3.7,57.2,15.5,shrub,2.29,2.524,3.555,2.519,7,4.336525183
mp_amealn_8,mp,amealn,8,2.91,1825.5,627.3195876,4.01,4,57.5,14.2,shrub,2.46,1.915,1.953,1.72,8,4.511795875
mp_amealn_9,mp,amealn,9,2.61,1433.6,549.2720307,4.14,3.9,58.3,15.1,shrub,2.25,3.767,2.676,3.091,9,5.910678865
mp_corsto_1,mp,corsto,1,2.28,766.9,336.3596491,4.27,3.3,45.7,13.7,shrub,1.86,0.833,NA,NA,1,4.308041998
mp_corsto_10,mp,corsto,10,3.24,1494.8,461.3580247,NA,NA,NA,NA,shrub,3.48,1.574,1.605,1.762,10,4.868899464
mp_corsto_10_02,mp,corsto,10_02,NA,NA,NA,4.2,2.7,49.8,18.2,NA,NA,NA,NA,NA,10_2,0.54624197
mp_corsto_2,mp,corsto,2,3.01,1337,444.1860465,3.98,3,45.9,15.2,shrub,3.85,1.442,0.91,1.092,2,2.401212605
mp_corsto_20,mp,corsto,20,2.97,1221.5,411.2794613,4.62,2.6,50.1,19.3,shrub,4.25,3.336,1.879,NA,20,5.39135281
mp_corsto_3,mp,corsto,3,3.27,1233.8,377.3088685,4.62,2.3,47.3,20.6,shrub,2.97,3.665,NA,NA,3,4.06824883
mp_corsto_5,mp,corsto,5,2.93,1505,513.6518771,3.62,3.2,45.4,14.2,shrub,3.71,2.717,NA,NA,5,2.83811494
mp_corsto_6,mp,corsto,6,3.57,1540.6,431.5406162,4.11,2.4,45.3,19.2,shrub,2.74,1.77,NA,NA,6,2.786293538
mp_corsto_7,mp,corsto,7,2.7,877,324.8148148,3.8,2.5,46.1,18.8,shrub,2.31,1.129,NA,NA,7,2.42486609
mp_corsto_8,mp,corsto,8,3.12,1332.1,426.9551282,4.01,2.8,46.9,16.7,shrub,1.12,1.987,NA,NA,NA,NA
mp_corsto_9,mp,corsto,9,2.84,1359,478.5211268,4.67,2.8,46.2,16.8,shrub,2.02,2.021,NA,NA,9,2.873483083
mp_loninv_10,mp,loninv,10,2.01,856.4,426.0696517,4.15,2.9,50.1,17.2,shrub,1.11,0.655,NA,NA,10,2.996401927
mp_loninv_11,mp,loninv,11,3.4,1261.5,371.0294118,4.85,2.7,49.7,18.1,shrub,2.42,1.834,NA,NA,11,3.454847827
mp_loninv_12,mp,loninv,12,2.52,1045.4,414.8412698,4.83,3.2,51.5,16,shrub,2.88,1.431,NA,NA,12,3.82326748
mp_loninv_13,mp,loninv,13,1.96,789,402.5510204,3.88,2.8,51,18.2,shrub,1.71,1.214,NA,NA,NA,NA
mp_loninv_3,mp,loninv,3,2.53,1036.53,409.6956522,4.39,3.1,52.6,16.8,shrub,1.48,1.643,NA,NA,3,5.217331581
mp_loninv_5,mp,loninv,5,2.46,990.6,402.6829268,3.59,3.3,50.5,15.5,shrub,1.19,1.285,NA,NA,5,3.38229955
mp_loninv_6,mp,loninv,6,3.18,1495.1,470.1572327,4.11,2.5,50.6,20.6,shrub,1,1.17,1.262,1.044,6,3.579530989
mp_loninv_7,mp,loninv,7,2.86,1261.3,441.013986,NA,NA,NA,NA,shrub,2.28,0.961,NA,NA,7,4.234082123
mp_loninv_8,mp,loninv,8,3.05,1258.53,412.6327869,3.9,3.8,53,13.9,shrub,1.05,0.918,0.83,1.072,NA,NA
mp_loninv_9,mp,loninv,9,2.3,921.4,400.6086957,4.13,4.2,52.4,12.5,shrub,1.6,2.275,NA,NA,9,3.317470562
mp_menfer_1,mp,menfer,1,1.41,575.8,408.3687943,3.89,2.9,45.1,15.5,shrub,1.59,1.383,NA,NA,1,1.962090039
mp_menfer_10,mp,menfer,10,1.34,485.1,362.0149254,4.25,2.6,44.8,17,shrub,1.82,1.399,NA,NA,10,2.495798761
mp_menfer_10_02,mp,menfer,10_02,2.92,1130.9,387.2945205,3.72,2.6,44.7,16.9,shrub,1.96,1.674,NA,NA,10_2,2.735495683
mp_menfer_12,mp,menfer,12,3.09,1419.5,459.3851133,4.42,2,43.5,21.9,shrub,2.8,2.475,1.811,1.853,12,2.565717713
mp_menfer_2,mp,menfer,2,2.58,1269.6,492.0930233,3.59,2.2,44.4,20.3,shrub,1.67,1.77,1.768,1.593,2,1.980891225
mp_menfer_4,mp,menfer,4,2.5,1014.5,405.8,3.58,2.4,43.4,18.4,shrub,1.1,2.753,1.886,1.882,4,2.008219537
mp_menfer_5,mp,menfer,5,3.25,1395.6,429.4153846,3.74,2.4,44.9,18.5,shrub,0.89,0.888,NA,NA,5,2.676942798
mp_menfer_6,mp,menfer,6,2.57,1171,455.6420233,3.6,2.5,45.1,17.8,shrub,1.19,1.367,1.451,1.357,6,1.919433149
mp_menfer_7,mp,menfer,7,3.61,1469.6,407.0914127,3.8,2.5,44.5,17.6,shrub,2.05,2.154,1.363,1.866,7,1.665111716
mp_menfer_9,mp,menfer,9,1.62,699.9,432.037037,3.93,3.1,44.7,14.6,shrub,1.55,1.393,NA,NA,9,1.955941085
mp_popbal_10,mp,popbal,10,3.79,1743.4,460,NA,NA,NA,NA,tree,18.45,37.8,NA,NA,10,5.125964932
mp_popbal_10_02,mp,popbal,10_02,NA,NA,NA,4.26,1.8,45.8,25.9,NA,NA,NA,NA,NA,10_02,8.631508523
mp_popbal_11,mp,popbal,11,3.75,1809.3,482.48,3.8,2.5,47.3,19.1,tree,17.97,39.4,NA,NA,11,7.124458027
mp_popbal_12,mp,popbal,12,3.08,1290,418.8311688,3.92,2.2,44.4,20.2,tree,19.81,52.9,NA,NA,12,6.870685871
mp_popbal_13,mp,popbal,13,4.7,2345.5,499.0425532,4.29,1.8,42.1,23.9,tree,34.57,91.9,NA,NA,13,6.373581878
mp_popbal_14,mp,popbal,14,4.4,2199.9,499.9772727,3.61,2.1,50.4,23.9,tree,32.61,54.9,NA,NA,14,6.773161829
mp_popbal_15,mp,popbal,15,4.24,1987.6,468.7735849,3.89,1.6,38.7,24,tree,22.46,22,NA,NA,15,6.328301141
mp_popbal_6,mp,popbal,6,3.31,1464.1,442.326284,4.15,2.3,48.8,21.7,tree,13.48,23.7,NA,NA,6,7.193523498
mp_popbal_7,mp,popbal,7,3.52,NA,NA,3.93,2.7,49.3,18.5,tree,21.1,28.2,27.9,28.9,NA,NA
mp_popbal_8,mp,popbal,8,3.73,1894.1,507.8016086,4.46,2.5,47.8,19.2,tree,16.18,42.2,34.1,NA,8,1.3883104
mp_popbal_9,mp,popbal,9,4.11,2052.3,499.3430657,4.49,1.8,47.1,25.9,tree,16.68,46.6,NA,NA,9,8.561092614
mp_poptre_10,mp,poptre,10,4.43,1960.5,442.5507901,3.76,2.8,51.5,18.6,tree,11.28,14,NA,NA,10,5.603474879
mp_poptre_11,mp,poptre,11,3.85,1933.8,502.2857143,3.8,2.4,51.1,21.6,tree,6.68,4.6,NA,NA,11,6.036200298
mp_poptre_12,mp,poptre,12,3.55,1702.7,479.6338028,3.73,2.5,50.8,20,tree,13.48,23.5,25.6,NA,12,6.082823212
mp_poptre_13,mp,poptre,13,4.15,1914.4,461.3012048,4.21,2.5,51.8,20.9,tree,7.48,13.4,NA,NA,13,6.756520366
mp_poptre_5,mp,poptre,5,4.05,2050.24,506.2320988,3.62,2,51.7,26.5,tree,8.62,15.5,NA,NA,5,6.538829562
mp_poptre_6,mp,poptre,6,3.76,1568.52,417.1595745,4.05,3.1,48.5,15.4,tree,5.48,4.7,NA,NA,6,4.501726987
mp_poptre_7,mp,poptre,7,3.73,1883.81,505.0428954,4.69,2.7,50.2,18.7,tree,9.79,10.5,NA,NA,7,8.007748349
mp_poptre_7_02,mp,poptre,7_02,3.59,1713.61,477.3286908,3.94,2.2,52.1,23.8,tree,15.9,9.4,23.6,21,7_02,4.633318284
mp_poptre_8,mp,poptre,8,3.63,1986.39,547.214876,4.67,2.9,49.7,17.3,tree,14.17,20,NA,NA,8,6.563221139
mp_poptre_9,mp,poptre,9,3.74,1813.82,484.9786096,3.75,2.8,51,18.2,tree,5.09,6.6,NA,NA,9,5.738992636
mp_rhoalb_1,mp,rhoalb,1,3.55,1346.5,379.2957746,4.24,2.1,46.1,22.6,shrub,1.14,1.291,1.328,1.079,1,5.047743746
mp_rhoalb_10,mp,rhoalb,10,3.08,994,322.7272727,3.84,2.5,46.4,18.7,shrub,1.49,1.128,NA,NA,10,2.550495786
mp_rhoalb_11,mp,rhoalb,11,3.8,1271.7,334.6578947,4.36,1.9,46.7,24.2,shrub,1.51,2.873,1.675,2.495,11,4.093243371
mp_rhoalb_12,mp,rhoalb,12,3.27,1040.4,318.1651376,3.92,2.4,46.4,19.1,shrub,1.9,1.171,2.133,1.531,12,2.513247632
mp_rhoalb_2,mp,rhoalb,2,3.12,1120,358.974359,3.64,2.9,45.9,15.8,shrub,0.96,0.943,0.977,0.545,2,2.285870747
mp_rhoalb_3,mp,rhoalb,3,2.54,773.3,304.4488189,4.13,2.5,46.5,18.9,shrub,1.89,1.487,NA,NA,3,3.229121581
mp_rhoalb_4,mp,rhoalb,4,3.93,1473.8,375.0127226,4.25,2.5,45.6,18.4,shrub,1.72,1.53,NA,NA,4,2.496950228
mp_rhoalb_5,mp,rhoalb,5,2.34,781.6,334.017094,3.9,3,44.8,15.1,shrub,1.69,1.204,NA,NA,NA,NA
mp_rhoalb_8,mp,rhoalb,8,3.13,949.7,303.4185304,4.79,2.3,45.8,19.7,shrub,2.25,2.074,2.23,1.48,8,3.700554272
mp_rhoalb_9,mp,rhoalb,9,3.62,1179.7,325.8839779,3.56,2.7,46.4,17.4,shrub,1.44,1.339,NA,NA,9,2.702060171
mp_riblac_1,mp,riblac,1,2.73,1463,535.8974359,3.55,1.9,44.2,23.3,shrub,0.92,0.715,NA,NA,1,4.890152864
mp_riblac_10,mp,riblac,10,3.9,19736,5060.512821,3.63,2.2,43.8,19.8,shrub,0.93,0.76,NA,NA,10,4.511882421
mp_riblac_11,mp,riblac,11,1.66,895.6,539.5180723,3.62,2.2,43.6,20.1,shrub,1.04,0.784,NA,NA,11,2.328186448
mp_riblac_2,mp,riblac,2,3.04,1512.9,497.6644737,4.49,2.8,42.4,14.9,shrub,0.74,0.563,NA,NA,2,2.620616014
mp_riblac_3,mp,riblac,3,2.44,1445.4,592.3770492,3.84,3,43.5,14.7,shrub,1.18,0.839,NA,NA,3,3.469697569
mp_riblac_4,mp,riblac,4,2.17,1367,629.9539171,3.8,2.1,51.9,24.4,shrub,1.28,1.086,NA,NA,4,5.542318829
mp_riblac_5,mp,riblac,5,2.14,1156.4,540.3738318,3.89,2.4,45.2,18.5,shrub,1.83,0.772,NA,NA,5,3.033694032
mp_riblac_6,mp,riblac,6,1.78,997.1,560.1685393,3.96,3,44.8,15.2,shrub,1.79,0.879,NA,NA,6,2.67469069
mp_riblac_7,mp,riblac,7,1.85,1107.5,598.6486486,4.18,2.7,45.2,17,shrub,0.77,0.633,NA,NA,7,3.612214183
mp_riblac_8,mp,riblac,8,2.12,1140.7,538.0660377,3.62,2.7,45.6,17,shrub,0.96,0.572,NA,NA,8,4.278585745
mp_rubpar_1,mp,rubpar,1,2.03,549.5,270.6896552,4.67,2.5,44.4,17.8,shrub,0.87,0.544,NA,NA,1,9.651280245
mp_rubpar_10,mp,rubpar,10,2.46,664.2,270,4.14,3.2,46.4,14.5,shrub,0.97,0.661,NA,NA,10,9.78595939
mp_rubpar_2,mp,rubpar,2,2.91,774.1,266.0137457,3.72,3.8,44.5,11.6,shrub,1.02,8.28,NA,NA,2,2.501311134
mp_rubpar_3,mp,rubpar,3,2.08,396.1,190.4326923,4.02,3.9,45.3,11.7,shrub,0.61,0.474,NA,NA,3,1.837282468
mp_rubpar_4,mp,rubpar,4,1.83,499.5,272.9508197,4.68,3,45.3,15.1,shrub,0.71,0.638,NA,NA,4,8.641435885
mp_rubpar_5,mp,rubpar,5,2.45,874.1,356.7755102,3.97,2.8,46.2,16.6,shrub,0.64,0.697,NA,NA,5,12.78531164
mp_rubpar_6,mp,rubpar,6,3.32,1031.7,310.753012,4.33,3.7,45.3,12.3,shrub,1.69,1.374,NA,NA,6,2.523125101
mp_rubpar_7,mp,rubpar,7,2.37,735.4,310.2953586,4.22,3.2,44.9,13.9,shrub,0.69,0.572,NA,NA,7,2.724362269
mp_rubpar_8,mp,rubpar,8,2.89,920.6,318.5467128,3.96,2.7,45.3,16.8,shrub,0.95,0.572,NA,NA,8,2.477139217
mp_rubpar_9,mp,rubpar,9,2.8,697.2,249,3.72,4.2,44.9,10.6,shrub,1.1,0.687,NA,NA,9,8.424570598
mp_samrac_1,mp,samrac,1,4.13,1440.6,348.8135593,4.42,6,47.8,8,shrub,2.21,4.866,NA,NA,1,2.13029127
mp_samrac_10,mp,samrac,10,3.62,453.7,125.3314917,3.51,3.9,45.6,11.6,shrub,3.32,1.625,1.63,2.083,10,1.870405984
mp_samrac_11,mp,samrac,11,2.72,473.1,173.9338235,3.96,3.9,45.8,11.8,shrub,3.84,1.993,1.6,1.597,11,2.984947522
mp_samrac_2,mp,samrac,2,3.54,623.1,176.0169492,4.08,5.6,46.4,8.3,shrub,1.78,3.977,1.992,3.29,2,3.725417785
mp_samrac_3,mp,samrac,3,3.6,811.8,225.5,4.32,4.2,46.4,11.1,shrub,3.1,2.866,NA,NA,3,2.692477923
mp_samrac_4,mp,samrac,4,2.41,533.1,221.2033195,3.73,5.3,45.6,8.6,shrub,4.41,2.597,NA,NA,4,2.47164509
mp_samrac_5,mp,samrac,5,2.8,574.3,205.1071429,3.58,5.2,47,9,shrub,5.25,8.2,6.3,NA,5,2.098726915
mp_samrac_6,mp,samrac,6,4.47,851.9,190.5816555,3.9,4.3,46.8,10.9,shrub,1.11,1.027,1.68,1.695,6,3.57696337
mp_samrac_7,mp,samrac,7,3.5,809.4,231.2571429,4.77,4.5,45.6,10.1,shrub,2.85,2.208,NA,NA,7,5.314141017
mp_samrac_8,mp,samrac,8,3.09,826.1,267.3462783,4.55,4.2,45.2,10.8,shrub,2.64,1.45,0.942,0.554,8,2.731611803
mp_samrac_9,mp,samrac,9,3.06,665.3,217.4183007,4.68,4.3,46.6,10.9,shrub,2.87,2.349,NA,NA,9,3.256625262
mp_shecan_10,mp,shecan,10,3.62,1897.4,524.1436464,3.79,3.7,46.3,12.7,shrub,1.23,1.894,NA,NA,10,3.575403069
mp_shecan_11,mp,shecan,11,4.1,1952.7,476.2682927,3.85,4.2,46.2,11,shrub,1.39,0.977,0.944,0.443,11,4.145586614
mp_shecan_2,mp,shecan,2,2.6,1221.3,469.7307692,4.33,2.9,45.9,15.7,shrub,1.36,2.271,1.192,1.427,2,6.093999682
mp_shecan_3,mp,shecan,3,3.87,2080.4,537.5710594,NA,NA,NA,NA,shrub,3.17,2.86,NA,NA,NA,NA
mp_shecan_4,mp,shecan,4,3.33,1494.5,448.7987988,4.03,3.3,45.3,13.6,shrub,1.1,0.879,0.801,1.029,4,5.873119564
mp_shecan_5,mp,shecan,5,3.44,1721.3,500.377907,4.25,2.6,46.9,18,shrub,1.53,3.899,NA,NA,5,7.075985221
mp_shecan_6,mp,shecan,6,2.61,1192.5,456.8965517,4.72,3.7,44.9,12.1,shrub,1.5,1.374,1.122,1.033,6,4.762956971
mp_shecan_7,mp,shecan,7,3.44,1720,500,4.67,2.9,45.3,15.5,shrub,1.59,2.479,2,1.823,7,7.282967866
mp_shecan_8,mp,shecan,8,4.27,2408.9,564.1451991,4.46,2.9,45,15.8,shrub,0.8,1.923,NA,NA,8,6.40531789
mp_shecan_9,mp,shecan,9,3.77,1774.7,470.7427056,3.76,2.8,45.9,16.2,shrub,1.38,1.958,NA,NA,9,6.479475431
mp_sorsco_1,mp,sorsco,1,2.86,1249.4,436.8531469,4.7,2.9,42.9,15,shrub,1.95,2.027,1.705,1.72,1,4.62206043
mp_sorsco_10,mp,sorsco,10,3.19,1591.3,498.8401254,3.6,3.1,46.7,15,shrub,2.57,3.132,3.178,2.553,10,4.548253134
mp_sorsco_11,mp,sorsco,11,3.76,1527.6,406.2765957,4.54,3.6,47.7,13.4,NA,NA,NA,NA,NA,11,3.915998589
mp_sorsco_11_b,mp,sorsco,11_b,4.51,1929.6,427.8492239,NA,NA,NA,NA,shrub,5.48,6.1,NA,NA,11_b,5.005039735
mp_sorsco_12,mp,sorsco,12,4.02,1924.7,478.7810945,4.89,2.9,43.7,15.2,shrub,2.55,2.635,3.419,2.95,12,3.649584625
mp_sorsco_12_2,mp,sorsco,12_2,NA,NA,NA,NA,NA,NA,NA,shrub,4.01,3,2.1,NA,NA,NA
mp_sorsco_13,mp,sorsco,13,2.8,1238.4,442.2857143,4,3.5,46.3,13.4,shrub,3.63,3.3,NA,NA,13,4.014769289
mp_sorsco_14,mp,sorsco,14,2.92,1300.4,445.3424658,4.26,2.9,45.6,15.7,shrub,1.77,1.892,NA,NA,14,4.026540065
mp_sorsco_3,mp,sorsco,3,2.22,1095,493.2432432,3.72,2.1,44.5,20.9,shrub,1.23,2.04,1.33,1.297,3,6.546257219
mp_sorsco_4,mp,sorsco,4,4.01,1632.6,407.1321696,3.76,3.1,42.1,13.8,shrub,1.91,2.062,NA,NA,4,3.897370436
mp_sorsco_8,mp,sorsco,8,4,1470.4,367.6,4.39,3.5,43.8,12.5,shrub,3.26,2,2.9,NA,8,5.417614141
mp_spibet_1,mp,spibet,1,0.78,344.6,441.7948718,3.95,2.5,46.9,18.9,shrub,0.26,0.319,NA,NA,1,4.340700095
mp_spibet_10,mp,spibet,10,0.84,352.7,419.8809524,3.71,3,48.3,15.9,shrub,0.43,0.428,NA,NA,10,2.580180056
mp_spibet_2,mp,spibet,2,0.66,288,436.3636364,4.33,1.8,46,26.1,shrub,0.49,0.328,NA,NA,2,4.029263974
mp_spibet_3,mp,spibet,3,0.88,338.9,385.1136364,4,2.1,46.3,21.6,shrub,0.57,0.343,NA,NA,3,5.081758463
mp_spibet_4,mp,spibet,4,0.95,445.9,469.3684211,3.76,2.3,45.3,19.6,shrub,0.45,0.341,NA,NA,4,3.901380906
mp_spibet_5,mp,spibet,5,0.76,252.3,331.9736842,4.49,3.2,48,15.1,shrub,0.68,0.3,NA,NA,5,3.093388662
mp_spibet_6,mp,spibet,6,0.63,279.9,444.2857143,3.19,2.7,47.3,17.3,shrub,0.42,0.286,NA,NA,6,3.089370229
mp_spibet_7,mp,spibet,7,0.81,289.2,357.037037,3.91,2.5,47.7,18.9,shrub,0.67,0.476,NA,NA,7,2.567403433
mp_spibet_8,mp,spibet,8,1.21,424.2,350.5785124,4.53,2.3,46.8,20.7,shrub,0.61,0.332,NA,NA,8,3.251019029
mp_spibet_9,mp,spibet,9,1.21,463.2,382.8099174,3.66,2,47.1,23.5,shrub,0.64,0.36,NA,NA,9,2.848565355
mp_spipyr_1,mp,spipyr,1,1.98,538.5,271.969697,3.81,3,48.4,16.3,shrub,1.32,0.735,NA,NA,1,2.268913355
mp_spipyr_10,mp,spipyr,10,3.09,1537.5,497.5728155,3.74,2.6,48.7,19.1,shrub,1.2,0.635,NA,NA,10,3.178707689
mp_spipyr_2,mp,spipyr,2,1.36,606.8,446.1764706,4.88,2.6,48.6,18.7,shrub,0.85,0.511,NA,NA,2,3.338766467
mp_spipyr_3,mp,spipyr,3,2.78,1384.4,497.9856115,4.72,2.2,48.3,21.6,shrub,0.36,0.774,NA,NA,3,4.454752053
mp_spipyr_4,mp,spipyr,4,1.39,532.8,383.3093525,3.68,2.6,49.6,18.8,shrub,1.45,0.938,NA,NA,4,3.502866568
mp_spipyr_5,mp,spipyr,5,1.31,657.9,502.2137405,4.51,2.2,49.5,22.5,shrub,1,0.616,NA,NA,5,4.473207424
mp_spipyr_6,mp,spipyr,6,2.12,865.3,408.1603774,4.15,2.8,49.4,17.9,shrub,1.44,1.134,NA,NA,6,3.493392902
mp_spipyr_7,mp,spipyr,7,1.3,556.9,428.3846154,4.52,2.5,48.9,19.7,shrub,1.31,1.091,NA,NA,7,3.625668615
