"species","site","no","sample","lma"
"amealn","kl","6","kl_amealn_6",4.06331300933312
"amealn","kl","7","kl_amealn_7",3.03649560333128
"amealn","kl","8","kl_amealn_8",4.84014028271007
"amealn","kl","9","kl_amealn_9",5.50531246868786
"betpap","kl","10","kl_betpap_10",7.30568880740405
"betpap","kl","11","kl_betpap_11",6.10049122652587
"betpap","kl","12","kl_betpap_12",5.04599868359703
"betpap","kl","13","kl_betpap_13",4.97519335021869
"betpap","kl","14","kl_betpap_14",5.33913394553475
"betpap","kl","5","kl_betpap_5",6.21941637385217
"betpap","kl","6","kl_betpap_6",5.44577621863244
"betpap","kl","7","kl_betpap_7",6.51772004592961
"betpap","kl","8","kl_betpap_8",5.55602958303081
"betpap","kl","9","kl_betpap_9",3.92820824222954
"betpap","kl","9_02","kl_betpap_9_02",7.04734459528172
"corsto","kl","10","kl_corsto_10",4.97391508076341
"corsto","kl","11","kl_corsto_11",3.01294365823473
"corsto","kl","13","kl_corsto_13",5.80956756605035
"corsto","kl","2","kl_corsto_2",4.11751414932695
"corsto","kl","3","kl_corsto_3",3.74176416839184
"corsto","kl","5","kl_corsto_5",3.38476976695374
"corsto","kl","6","kl_corsto_6",5.02516695222653
"corsto","kl","7","kl_corsto_7",4.02250328105597
"corsto","kl","8","kl_corsto_8",5.10144618936576
"corsto","kl","9","kl_corsto_9",4.68195569028407
"loninv","kl","1","kl_loninv_1",8.4792844128233
"loninv","kl","10","kl_loninv_10",3.99736822375293
"loninv","kl","2","kl_loninv_2",2.86755881933728
"loninv","kl","3","kl_loninv_3",6.95263131546926
"loninv","kl","4","kl_loninv_4",3.39004001468809
"loninv","kl","5","kl_loninv_5",6.03054627080674
"loninv","kl","6","kl_loninv_6",5.46124918618646
"loninv","kl","7","kl_loninv_7",4.88361562846127
"loninv","kl","8","kl_loninv_8",4.48021943156323
"loninv","kl","9","kl_loninv_9",4.68521170258506
"popbal","kl","1","kl_popbal_1",4.39428334292068
"popbal","kl","10","kl_popbal_10",8.35723492851699
"popbal","kl","11","kl_popbal_11",7.36715970601584
"popbal","kl","4","kl_popbal_4",5.92997679956274
"popbal","kl","5","kl_popbal_5",5.65417962320506
"popbal","kl","6","kl_popbal_6",6.78720618925112
"popbal","kl","7","kl_popbal_7",4.90410605970922
"popbal","kl","8","kl_popbal_8",5.11656713190751
"popbal","kl","8_02","kl_popbal_8_02",5.55389542688358
"popbal","kl","9","kl_popbal_9",6.83308576394907
"poptre","kl","1","kl_poptre_1",4.6141591540551
"poptre","kl","10","kl_poptre_10",NA
"poptre","kl","2","kl_poptre_2",5.98659223374236
"poptre","kl","3","kl_poptre_3",7.59956231002554
"poptre","kl","4","kl_poptre_4",6.53931551826962
"poptre","kl","5","kl_poptre_5",6.98692456751879
"poptre","kl","6","kl_poptre_6",6.62304734473819
"poptre","kl","7","kl_poptre_7",5.84145246506522
"poptre","kl","8","kl_poptre_8",7.39719726878806
"poptre","kl","9","kl_poptre_9",NA
"rhoalb","kl","1","kl_rhoalb_1",2.57973640524041
"rhoalb","kl","10","kl_rhoalb_10",2.83584890030773
"rhoalb","kl","2","kl_rhoalb_2",3.44299663531955
"rhoalb","kl","3","kl_rhoalb_3",4.81682099442181
"rhoalb","kl","4","kl_rhoalb_4",3.95108241111087
"rhoalb","kl","5","kl_rhoalb_5",1.92497787323949
"rhoalb","kl","6","kl_rhoalb_6",1.97740053437683
"rhoalb","kl","7","kl_rhoalb_7",2.41751288429055
"rhoalb","kl","8","kl_rhoalb_8",2.91941973600613
"rhoalb","kl","9","kl_rhoalb_9",3.21312960336033
"riblac","kl","1","kl_riblac_1",1.66938177592172
"riblac","kl","10","kl_riblac_10",3.67241328099155
"riblac","kl","11","kl_riblac_11",4.46061001478357
"riblac","kl","12","kl_riblac_12",2.02563764389377
"riblac","kl","13","kl_riblac_13",2.55006370869702
"riblac","kl","2","kl_riblac_2",3.75793300331195
"riblac","kl","3","kl_riblac_3",3.01928430075976
"riblac","kl","7","kl_riblac_7",3.04678529948232
"riblac","kl","8","kl_riblac_8",3.52607996623011
"riblac","kl","9","kl_riblac_9",3.7909084442211
"rubpar","kl","1","kl_rubpar_1",2.37967800039408
"rubpar","kl","10","kl_rubpar_10",3.0986251359296
"rubpar","kl","11","kl_rubpar_11",3.23515462249209
"rubpar","kl","12","kl_rubpar_12",3.94465566450087
"rubpar","kl","3","kl_rubpar_3",3.43967618402484
"rubpar","kl","4","kl_rubpar_4",3.13323098518283
"rubpar","kl","6","kl_rubpar_6",3.17005075289286
"rubpar","kl","7","kl_rubpar_7",3.07068954811706
"rubpar","kl","8","kl_rubpar_8",3.74255607462543
"rubpar","kl","9","kl_rubpar_9",3.28786452341067
"samrac","kl","1","kl_samrac_1",3.42837721086993
"samrac","kl","10","kl_samrac_10",2.45834980300693
"samrac","kl","2","kl_samrac_2",2.91640350604654
"samrac","kl","3","kl_samrac_3",3.21618188799517
"samrac","kl","4","kl_samrac_4",3.27832833307974
"samrac","kl","5","kl_samrac_5",NA
"samrac","kl","6","kl_samrac_6",3.50503001381908
"samrac","kl","7","kl_samrac_7",3.57910511038389
"samrac","kl","8","kl_samrac_8",2.90978192528403
"samrac","kl","9","kl_samrac_9",1.96777366800395
"shecan","kl","1","kl_shecan_1",4.59577881615543
"shecan","kl","2","kl_shecan_2",4.03313395506751
"shecan","kl","3","kl_shecan_3",4.06750734589218
"shecan","kl","4","kl_shecan_4",5.27493556787109
"shecan","kl","4_02","kl_shecan_4_02",5.08248248537003
"shecan","kl","5","kl_shecan_5",4.71904577269731
"shecan","kl","6","kl_shecan_6",6.57371797916448
