site ,species,no,stem.weight
sm,riblac,11,1547.8
sm,riblac,12,811.6
sm,riblac,12_02,757.9
sm,rosaci,1,1329.8
sm,rosaci,2,1705.3
sm,rosaci,3,741.8
sm,rosaci,4,659.7
sm,rosaci,5,2217.8
sm,rosaci,6,434.6
sm,rosaci,7,1125.9
sm,rosaci,8,819.3
sm,rosaci,9,1052.3
sm,rosaci,10,1293.8
sm,rosaci,20,483
sm,rubpar,1,521.8
sm,rubpar,2,306.9
sm,rubpar,3,599.9
sm,rubpar,4,554.7
sm,rubpar,5,1014.9
sm,rubpar,6,831.3
sm,rubpar,7,1194.9
sm,rubpar,8,447.8
sm,rubpar,9,689.1
sm,rubpar,10,843.2
sm,rubspe,1,845.1
sm,rubspe,2,573.1
sm,rubspe,5,679.7
sm,rubspe,6,597.2
sm,rubspe,7,717.9
sm,rubspe,8,661.9
sm,rubspe,9,727.7
sm,rubspe,10,639.5
sm,rubspe,11,566.1
sm,rubspe,12,1347.5
sm,samrac,2,714.3
sm,samrac,3,351.5
sm,samrac,4,886
sm,samrac,5,545.1
sm,samrac,6,627.8
sm,samrac,7,513
sm,samrac,8,791.2
sm,samrac,9,710.5
sm,samrac,10,696.9
sm,samrac,11,852.8
sm,shecan,1,900.2
sm,shecan,5,1109.5
sm,shecan,6,1685.6
sm,shecan,7,1191.4
sm,shecan,8,1363.9
sm,shecan,9,1288.5
sm,shecan,10,1152.6
sm,shecan,11,850.9
sm,shecan,12,1432.1
sm,shecan,16,753.4
sm,sorsco,1,2382
sm,sorsco,4,2080.5
sm,sorsco,5,1097.9
sm,sorsco,6,1284.9
sm,sorsco,7,998.9
sm,sorsco,9,1171.5
sm,sorsco,10,1275.2
sm,sorsco,11,927.2
sm,sorsco,12,1287.9
sm,sorsco,12_02,1234
sm,spibet,1,349.9
sm,spibet,2,384.2
sm,spibet,3,730.2
sm,spibet,4,509.5
sm,spibet,5,714.1
sm,spibet,6,508.6
sm,spibet,7,318.4
sm,spibet,8,1071.3
sm,spibet,9,552.3
sm,spibet,10,280.8
sm,spidou,1,499.9
sm,spidou,2,749
