"sample","site","species","ssd","per.N","per.C","ht","dbh","dbh2","dbh3","lma","C.N","type","transect","latitude","latZ"
"FRANIG05_GR","GR","franig",0.378504672897196,3.524548689,44.00222539,2.6,1.9,NA,NA,0.0353619104004201,12.5,NA,"1",43.99837498,-1.06799594411452
"FRANIG06_GR","GR","franig",0.414965986394558,2.960615043,42.66302549,2.5,1.8,NA,NA,0.0365146743347483,14.4,NA,"1",43.99837498,-1.06799594411452
"FRANIG07_GR","GR","franig",0.466666666666667,3.145113325,43.38087354,12,9.6,NA,NA,0.0258053417057331,13.8,NA,"1",43.99837498,-1.06799594411452
"FRANIG08_GR","GR","franig",0.421052631578947,3.690365777,43.66790888,8,4,NA,NA,0.0273316023318523,11.8,NA,"1",43.99837498,-1.06799594411452
"FRANIG10_GR","GR","franig",NA,NA,NA,NA,17.7,16.2,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ILEMUC01_GR","GR","ilemuc",0.487179487179487,2.22141857,47.07156073,0.4,NA,NA,NA,0.0579231155821699,21.2,NA,"1",43.99837498,-1.06799594411452
"ILEMUC02_GR","GR","ilemuc",0.526881720430108,2.563774084,48.50256244,1.4,1.4,NA,NA,0.0336353790370864,18.9,NA,"1",43.99837498,-1.06799594411452
"ILEMUC03_GR","GR","ilemuc",0.605263157894737,2.744827317,48.02478715,1.5,1.3,NA,NA,0.0294665684447718,17.5,NA,"1",43.99837498,-1.06799594411452
"ILEMUC04_GR","GR","ilemuc",0.561797752808989,2.384171816,47.1937465,3,1.4,1.4,1.7,0.0273046313473229,19.8,NA,"1",43.99837498,-1.06799594411452
"ILEMUC05_GR","GR","ilemuc",0.505154639175258,2.784225411,47.61479184,2,1.1,1.1,1.2,0.024925524943616,17.1,NA,"1",43.99837498,-1.06799594411452
"ILEMUC06_GR","GR","ilemuc",0.52,2.300744599,49.26549051,1.8,NA,NA,NA,0.0462296654891186,21.4,NA,"1",43.99837498,-1.06799594411452
"ILEMUC07_GR","GR","ilemuc",NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ILEMUC08_GR","GR","ilemuc",NA,NA,NA,2.3,2.125,1,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ILEMUC09_GR","GR","ilemuc",NA,NA,NA,2.2,1.3,1.1,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"ILEMUC10_GR","GR","ilemuc",NA,NA,NA,2,2,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"KALANG01_GR","GR","kalang",0.6,1.960507868,50.03195833,0.3,NA,NA,NA,0.0567496630488756,25.5,NA,"1",43.99837498,-1.06799594411452
"KALANG02_GR","GR","kalang",0.434782608695652,1.288497003,50.04645875,0.4,NA,NA,NA,0.0925681036762761,38.8,NA,"1",43.99837498,-1.06799594411452
"KALANG03_GR","GR","kalang",0.513513513513513,1.611981715,50.40005419,0.3,NA,NA,NA,0.0531571553328018,31.3,NA,"1",43.99837498,-1.06799594411452
"KALANG04_GR","GR","kalang",0.565217391304348,1.83628489,49.26962141,0.4,NA,NA,NA,0.0562429696287964,26.8,NA,"1",43.99837498,-1.06799594411452
"KALANG05_GR","GR","kalang",0.527777777777778,1.589575025,50.18866474,0.4,NA,NA,NA,0.0556070435588508,31.6,NA,"1",43.99837498,-1.06799594411452
"KALANG06_GR","GR","kalang",0.555555555555556,1.590722623,51.26058373,0.3,NA,NA,NA,0.0573786169021012,32.2,NA,"1",43.99837498,-1.06799594411452
"LONCAN01_GR","GR","loncan",0.571428571428571,1.447947508,43.6082607,0.25,NA,NA,NA,0.0305508880587688,30.1,NA,"1",43.99837498,-1.06799594411452
"LONCAN02_GR","GR","loncan",0.580645161290323,1.232092713,43.50443497,1.1,NA,NA,NA,0.036169973932674,35.3,NA,"1",43.99837498,-1.06799594411452
"LONCAN03_GR","GR","loncan",0.375,1.289805873,42.43693799,0.8,NA,NA,NA,0.0472042226322791,32.9,NA,"1",43.99837498,-1.06799594411452
"LONCAN03_GR","GR","loncan",0.522727272727273,1.289805873,42.43693799,1,NA,NA,NA,0.0350455592269951,32.9,NA,"1",43.99837498,-1.06799594411452
"LONCAN04_GR","GR","loncan",NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"LONCAN05_GR","GR","loncan",0.538461538461538,1.584132212,42.66252149,1,NA,NA,NA,0.0262390877307444,26.9,NA,"1",43.99837498,-1.06799594411452
"LONCAN06_GR","GR","loncan",0.538461538461539,1.430718361,41.9150386,0.8,NA,NA,NA,0.0239788985692591,29.3,NA,"1",43.99837498,-1.06799594411452
"LONCAN07_GR","GR","loncan",0.733333333333333,1.49390071,42.75849936,1.5,NA,NA,NA,0.0273402871558645,28.6,NA,"1",43.99837498,-1.06799594411452
"LONCAN08_GR","GR","loncan",NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"POPTRE01_GR","GR","poptre",NA,NA,NA,NA,34.2,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"POPTRE02_GR","GR","poptre",0.456953642384106,2.216446859,49.23114479,8,4.9,NA,NA,0.0507056536803854,22.2,NA,"1",43.99837498,-1.06799594411452
"POPTRE03_GR","GR","poptre",0.558823529411765,2.787994734,49.79009963,9,6.5,NA,NA,0.0587173520648936,17.9,NA,"1",43.99837498,-1.06799594411452
"POPTRE04_GR","GR","poptre",0.48421052631579,2.867100116,48.16680989,3,2.2,NA,NA,0.0461103732575599,16.8,NA,"1",43.99837498,-1.06799594411452
"POPTRE05_GR","GR","poptre",NA,NA,NA,25,21,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"POPTRE06_GR","GR","poptre",0.48019801980198,2.793076793,49.01644805,6,5,NA,NA,0.0565343839792047,17.5,NA,"1",43.99837498,-1.06799594411452
"POPTRE07_GR","GR","poptre",0.438144329896907,3.279787266,48.42175755,11,7.4,9.5,NA,0.0618287473409315,14.8,NA,"1",43.99837498,-1.06799594411452
"POPTRE08_GR","GR","poptre",NA,NA,NA,4.5,3.6,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"PRUPEN01_GR","GR","prupen",0.516483516483516,2.765964332,45.56069554,2.2,1,1.4,NA,0.0351469141009419,16.5,NA,"1",43.99837498,-1.06799594411452
"PRUPEN02_GR","GR","prupen",NA,NA,NA,1.1,4,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"PRUPEN03_GR","GR","prupen",0.433333333333333,3.656474311,45.62195673,3.5,2.2,2,1.3,0.0306221624572288,12.5,NA,"1",43.99837498,-1.06799594411452
"PRUPEN04_GR","GR","prupen",0.54014598540146,2.567771963,45.55669144,9,7.3,NA,NA,0.0383963958583088,17.7,NA,"1",43.99837498,-1.06799594411452
"PRUPEN05_GR","GR","prupen",0.469387755102041,2.938049229,45.99064224,2,1.4,1,NA,0.0483792936623125,15.7,NA,"1",43.99837498,-1.06799594411452
"PRUPEN06_GR","GR","prupen",0.562962962962963,3.092040248,47.43734504,2,2,1,NA,0.0445275625612254,15.3,NA,"1",43.99837498,-1.06799594411452
"PRUPEN07_GR","GR","prupen",NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"PRUPEN08_GR","GR","prupen",NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"PRUPEN09_GR","GR","prupen",0.535211267605634,2.798367987,48.70855186,2.3,1.6,1,NA,0.0488171559902539,17.4,NA,"1",43.99837498,-1.06799594411452
"PRUPEN10_GR","GR","prupen",NA,NA,NA,11,7.25,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"QUERUB01_GR","GR","querub",0.528571428571429,2.304766819,47.02900096,9.5,12,3.5,NA,0.0554851606708589,20.4,NA,"1",43.99837498,-1.06799594411452
"RHAFRA01_GR","GR","rhafra",0.412121212121212,3.100481881,32.47663192,2,1.125,NA,NA,0.0269003501604902,10.5,NA,"1",43.99837498,-1.06799594411452
"RHOPRI01_GR","GR","rhopri",0.439024390243902,3.282380111,47.85125314,0.7,NA,NA,NA,0.0298379426738526,14.6,NA,"1",43.99837498,-1.06799594411452
"RHOPRI02_GR","GR","rhopri",0.5,2.395617384,48.87562845,0.75,NA,NA,NA,0.0365270117251708,20.4,NA,"1",43.99837498,-1.06799594411452
"RHOPRI03_GR","GR","rhopri",0.48,2.487765851,49.21878828,0.5,NA,NA,NA,0.0391236306729264,19.8,NA,"1",43.99837498,-1.06799594411452
"RHOPRI04_GR","GR","rhopri",0.471698113207547,2.059806655,46.60373602,0.6,NA,NA,NA,0.0336393857843913,22.6,NA,"1",43.99837498,-1.06799594411452
"RHOPRI05_GR","GR","rhopri",0.447552447552448,2.348372763,45.45463312,1,NA,NA,NA,0.0403551251008878,19.4,NA,"1",43.99837498,-1.06799594411452
"SAMRAC01_GR","GR","samrac",0.266375545851528,4.523397888,50.25939305,2,1.5,1,NA,0.0270645445735588,11.1,NA,"1",43.99837498,-1.06799594411452
"SAMRAC02_GR","GR","samrac",0.302631578947368,4.354399785,47.31878603,1.3,NA,NA,NA,0.0363703307904036,10.9,NA,"1",43.99837498,-1.06799594411452
"SAMRAC03_GR","GR","samrac",0.257425742574257,3.876915599,47.39724181,2,1.8,2.2,NA,0.0318038178114913,12.2,NA,"1",43.99837498,-1.06799594411452
"SAMRAC04_GR","GR","samrac",0.274725274725275,4.352608685,47.05207085,2.1,1.8,1.5,NA,0.0395555208577302,10.8,NA,"1",43.99837498,-1.06799594411452
"SAMRAC05_GR","GR","samrac",0.212765957446809,4.267272439,47.28429979,7.5,3.6,3.7,1.7,0.0379778625813921,11.1,NA,"1",43.99837498,-1.06799594411452
"SAMRAC06_GR","GR","samrac",0.285714285714286,4.891430797,45.29662983,2,1.3,NA,NA,0.0449728527507032,9.3,NA,"1",43.99837498,-1.06799594411452
"SAMRAC07_GR","GR","samrac",NA,NA,NA,2,1.3,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"SAMRAC08_GR","GR","samrac",NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"SAMRAC09_GR","GR","samrac",NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,"1",43.99837498,-1.06799594411452
"SPIALB01_GR","GR","spialb",0.547619047619048,2.105344795,46.92056666,1,NA,NA,NA,0.0417531251581558,22.3,NA,"1",43.99837498,-1.06799594411452
"SPIALB02_GR","GR","spialb",0.442307692307692,2.692432561,46.78336651,1.3,NA,NA,NA,0.0289127859800968,17.4,NA,"1",43.99837498,-1.06799594411452
